subject,group,run,story,valence,spectral_centroid
1041,2,run_1,Grandfather Clocks,neutral,0.052317553342326975
1032,2,run_1,Pool Party,positive,0.04960876658247515
1024,3,run_1,Sea Ice,neutral,0.0745322806864909
1020,2,run_1,Grandfather Clocks,neutral,0.046391732777587256
1038,2,run_1,Dont Look,negative,0.06360271764119897
1015,3,run_1,Sea Ice,neutral,0.05617059358955965
1015,3,run_1,Dont Look,negative,0.05293442832991113
1032,2,run_1,Grandfather Clocks,neutral,0.04583169560924291
1006,3,run_1,Sea Ice,neutral,0.041069355091086675
1034,1,run_1,Natalie Wood,negative,0.06467699713098381
1010,1,run_1,Natalie Wood,negative,0.06160311970682538
1031,1,run_1,Pool Party,positive,0.07515738378047562
1004,1,run_1,Pool Party,positive,0.03426055738000558
1041,2,run_1,Pool Party,positive,0.06165452105534503
1021,3,run_1,Dont Look,negative,0.059258307687623586
1037,1,run_1,Natalie Wood,negative,0.029516202662127466
1022,1,run_1,Natalie Wood,negative,0.05789938556926248
1019,1,run_1,Pool Party,positive,0.06064994794131835
1002,2,run_1,Grandfather Clocks,neutral,0.058863863884564153
1013,1,run_1,Natalie Wood,negative,0.07374618423605077
1037,1,run_1,Sea Ice,neutral,0.02713138538214668
1023,2,run_1,Pool Party,positive,0.05016264204438599
1018,3,run_1,Impatient Billionaire,positive,0.06559693720083236
1012,3,run_1,Dont Look,negative,0.050716353398560336
1042,3,run_1,Sea Ice,neutral,0.07188309204631788
1035,2,run_1,Pool Party,positive,0.0781106802763934
1026,2,run_1,Grandfather Clocks,neutral,0.05712724687601578
1030,3,run_1,Sea Ice,neutral,0.08011721313609461
1032,2,run_1,Dont Look,negative,0.04841623488620749
1034,1,run_1,Sea Ice,neutral,0.050459237558175586
1030,3,run_1,Impatient Billionaire,positive,0.0653412932829597
1037,1,run_1,Pool Party,positive,0.05941087186438833
1006,3,run_1,Impatient Billionaire,positive,0.07008996552235625
1038,2,run_1,Grandfather Clocks,neutral,0.06571429762330186
1031,1,run_1,Natalie Wood,negative,0.043716112447786316
1039,3,run_1,Dont Look,negative,0.046987890231499
1012,3,run_1,Sea Ice,neutral,0.050516201126741364
1016,1,run_1,Sea Ice,neutral,0.050622505344066794
1017,2,run_1,Pool Party,positive,0.06323690047550755
1003,3,run_1,Impatient Billionaire,positive,0.07978000382878508
1017,2,run_1,Grandfather Clocks,neutral,0.05793913750943528
1024,3,run_1,Dont Look,negative,0.056590926718286125
1019,1,run_1,Sea Ice,neutral,0.06065280049016124
1038,2,run_1,Pool Party,positive,0.07047669940776642
1001,1,run_1,Sea Ice,neutral,0.060804193236968423
1043,1,run_1,Pool Party,positive,0.057829680441988794
1020,2,run_1,Dont Look,negative,0.03781820130185311
1029,2,run_1,Pool Party,positive,0.055832015596743126
1045,3,run_1,Sea Ice,neutral,0.06086434654991952
1013,1,run_1,Pool Party,positive,0.08180134485146633
1035,2,run_1,Grandfather Clocks,neutral,0.06122990825324343
1016,1,run_1,Natalie Wood,negative,0.06407854046721502
1027,3,run_1,Sea Ice,neutral,0.05949645313245524
1018,3,run_1,Dont Look,negative,0.07251479363456727
1035,2,run_1,Dont Look,negative,0.07517552222034067
1003,3,run_1,Sea Ice,neutral,0.04824139186161332
1016,1,run_1,Pool Party,positive,0.06095598969818484
1040,1,run_1,Natalie Wood,negative,0.05865067767494318
1029,2,run_1,Grandfather Clocks,neutral,0.05636026009653064
1042,3,run_1,Impatient Billionaire,positive,0.06931977352909358
1021,3,run_1,Sea Ice,neutral,0.040883390315720185
1045,3,run_1,Impatient Billionaire,positive,0.05544773464888995
1025,1,run_1,Sea Ice,neutral,0.043290148695036994
1029,2,run_1,Dont Look,negative,0.037498543267884425
1019,1,run_1,Natalie Wood,negative,0.06244230379921154
1020,2,run_1,Pool Party,positive,0.0657858789601585
1026,2,run_1,Dont Look,negative,0.048287354767237965
1043,1,run_1,Sea Ice,neutral,0.061214773563113355
1024,3,run_1,Impatient Billionaire,positive,0.05750654758805956
1012,3,run_1,Impatient Billionaire,positive,0.06883600866587325
1025,1,run_1,Natalie Wood,negative,0.04845184160701399
1001,1,run_1,Natalie Wood,negative,0.05011177051795534
1039,3,run_1,Sea Ice,neutral,0.05443717647479114
1003,3,run_1,Dont Look,negative,0.06285722537570014
1027,3,run_1,Impatient Billionaire,positive,0.04017353871577194
