subject,group,run,story,valence,spectral_entropy
1041,2,run_1,Grandfather Clocks,neutral,5.4319984641262264
1032,2,run_1,Pool Party,positive,5.001144294195156
1024,3,run_1,Sea Ice,neutral,5.387205007201875
1020,2,run_1,Grandfather Clocks,neutral,5.085448432303996
1038,2,run_1,Dont Look,negative,6.076120374052197
1015,3,run_1,Sea Ice,neutral,5.0234043700351
1015,3,run_1,Dont Look,negative,5.762475337107912
1032,2,run_1,Grandfather Clocks,neutral,5.246009928042307
1006,3,run_1,Sea Ice,neutral,4.441353393364255
1034,1,run_1,Natalie Wood,negative,6.37534279591874
1010,1,run_1,Natalie Wood,negative,6.344519852207688
1031,1,run_1,Pool Party,positive,5.541120235024089
1004,1,run_1,Pool Party,positive,4.864432448776565
1041,2,run_1,Pool Party,positive,5.227021318676492
1021,3,run_1,Dont Look,negative,6.015772060972012
1037,1,run_1,Natalie Wood,negative,5.314479707403531
1022,1,run_1,Natalie Wood,negative,6.257002053922781
1019,1,run_1,Pool Party,positive,5.114905676492013
1002,2,run_1,Grandfather Clocks,neutral,5.716767440049851
1013,1,run_1,Natalie Wood,negative,6.497450276400484
1037,1,run_1,Sea Ice,neutral,3.8173971016453097
1023,2,run_1,Pool Party,positive,4.789313284785826
1018,3,run_1,Impatient Billionaire,positive,5.290394620129102
1012,3,run_1,Dont Look,negative,5.837238735651132
1042,3,run_1,Sea Ice,neutral,5.325194746469687
1035,2,run_1,Pool Party,positive,5.57613798104126
1026,2,run_1,Grandfather Clocks,neutral,5.517277026409371
1030,3,run_1,Sea Ice,neutral,5.462082431824118
1032,2,run_1,Dont Look,negative,5.688784898737362
1034,1,run_1,Sea Ice,neutral,5.075567751111078
1030,3,run_1,Impatient Billionaire,positive,4.98113219134248
1037,1,run_1,Pool Party,positive,5.217163660242303
1006,3,run_1,Impatient Billionaire,positive,5.0226810382955005
1038,2,run_1,Grandfather Clocks,neutral,5.78447837373547
1031,1,run_1,Natalie Wood,negative,5.698586279448275
1039,3,run_1,Dont Look,negative,5.661184582229908
1012,3,run_1,Sea Ice,neutral,4.946088494808215
1016,1,run_1,Sea Ice,neutral,4.688276873942321
1017,2,run_1,Pool Party,positive,5.290360254370685
1003,3,run_1,Impatient Billionaire,positive,5.297966419130963
