event_number,event_text,predicted_label,confidence,pos_score,neu_score,neg_score,valence_event_continuous,arousal_event_score
1,"“How are you feeling today, Stephen?” Dr. Acosta said. “I'm fine.” Stephen said as he adjusted himself on the overplushed chair. “Good. How is the progress going?” “Um, I haven't exactly started.” “Stephen, you know things won't get better unless you try.” Dr. Acosta said as she tapped away on her iPad.",neutral,0.5681328773498535,0.29142045974731445,0.5681328773498535,0.14044664800167084,0.15097381174564362,0.4318671226501465
2,"“Yes, yes, I know. I just don't feel comfortable. This week has been extra challenging.” “There are always going to be challenges. They should not give you the reason to avoid trying something new.” “Yes, you're right.” Stephen said as he clutched his white cane tightly.",negative,0.6898961663246155,0.030436182394623756,0.27966761589050293,0.6898961663246155,-0.6594599839299917,0.7203323841094971
3,"“Please tell me what has been challenging about this week.” Dr. Acosta said as she finally looked up at Stephen. “Well, on Tuesday, I misplaced my cell phone and it was ringing. Susan was outside in the garden and couldn't hear the phone. It drove me nuts.” Stephen said as he ran his fingers through his dirty blonde hair.",negative,0.7536617517471313,0.019685234874486923,0.22665302455425262,0.7536617517471313,-0.7339765168726444,0.7733469754457474
4,"“Susan is your new nurse, correct?” Dr. Acosta said. “Yes, she's quite nice. A little more attentive than Monica was. It doesn't normally bother me.” “Should it have bothered you?” “No.” Steven said. “Did you try locating the phone yourself?” “No.” “It stopped ringing after the fifth ring.” “I see.” Dr. Acosta said, and she went back to writing on her device. Steven didn't like the tone of her voice.",neutral,0.5703537464141846,0.19052742421627045,0.5703537464141846,0.2391187697649002,-0.04859134554862976,0.42964625358581543
5,"“I did do the squinting exercises.” Steven said, trying to find something that she would approve of. “Good. What did you think?” “It was strange at first because it felt like my eyes would open whenever I released from squinting. I didn't like the sensation.”",negative,0.5553199052810669,0.05444624274969101,0.3902338445186615,0.5553199052810669,-0.5008736625313759,0.6097661554813385
6,"“This is good progress, Steven. Eventually, the strangeness will go away and the need to open your eyes will happen, especially if you start with the other lesson.” Dr. Acosta said, Steven could hear that she was smiling. Steven tightened his lips.",positive,0.7994638085365295,0.7994638085365295,0.1930808126926422,0.007455382961779833,0.7920084255747497,0.8069191873073578
7,"“I'm not sure I'm ready to open my eyes.” “It's normal to feel apprehensive about it. These sessions and lessons are here to help you get to a point where you want to open your eyes and live a normal life. Is that not what you want?” “Yes, Dr. Acosta. It is.” Stephen said as he steadied his voice.",neutral,0.623248279094696,0.13673143088817596,0.623248279094696,0.24002033472061157,-0.10328890383243561,0.37675172090530396
8,"Stephen was guided out of the office and into Susan's car. He could smell her perfume as she clipped his seatbelt into place. He lowered his head as the car started. It was always a jarring feeling when he rode in one. “Do you need to stop anywhere else?” Susan said. “No, I’d like to go home and rest.”",neutral,0.6348472237586975,0.1493537873029709,0.6348472237586975,0.21579892933368683,-0.06644514203071594,0.3651527762413025
9,"He thought about what Dr. Acosta had said, and when she had asked him at the end of the session, Stephen couldn't remember the last time he had lied. Then it came to him, and he shuddered at the memory. The last time he had his eyes open was the last time he had lied, and it was to tell the police a different story of what had happened that night.",negative,0.5641466975212097,0.0337015837430954,0.4021517336368561,0.5641466975212097,-0.5304451137781143,0.5978482663631439
10,Stephen was 11 years old again and found himself sitting on a metal chair next to a desk. He could see the room through the slits of his eyelids. The lids kept closing on him. It felt like his face was covered in blood.,negative,0.7698611617088318,0.02077234908938408,0.20936651527881622,0.7698611617088318,-0.7490888126194477,0.7906334847211838
