event_number,event_text,predicted_label,confidence,pos_score,neu_score,neg_score,valence_event_continuous,arousal_event_score
1,"Hey, and welcome to Short Stuff, the very brief podcast on Josh. There's Chuck. That's Jerry. Let's get going. No time for laughing, Chuck.",positive,0.7800683975219727,0.7800683975219727,0.21208395063877106,0.007847669534385204,0.7722207279875875,0.7879160493612289
2,"Welcome, everybody. And just as a very quick explanation, we had this idea because we often come across cool little interesting tidbits that certainly don't warrant a 45 minute episode. And everyone else on the planet is doing little shorty episodes on their podcast. And we thought, well, hey, in your tin, why don't we give it a shot? Yeah, let's try something new for once. Yeah. So I hope you all like it.",positive,0.9277135729789734,0.9277135729789734,0.06525008380413055,0.007036321330815554,0.9206772516481578,0.9347499161958694
3,"Great. Well, we've just wasted a lot of time, Chuck. We might not get to the end of this episode now. I thought we agreed there was no ticking clock.",negative,0.8972030282020569,0.01052000094205141,0.09227693825960159,0.8972030282020569,-0.8866830272600055,0.9077230617403984
4,"So you've seen a grandfather clock before, right? Yeah, we had, you know, not the, what is the like the smaller version called that hangs on the wall? Actually, I saw those called wag on the wall clocks. Those are the original ones.",neutral,0.8126135468482971,0.07675685733556747,0.8126135468482971,0.1106296107172966,-0.033872753381729126,0.18738645315170288
5,"Okay, we had one of those growing up. Or it's just like an exposed pendulum swinging back and forth. Yeah, you know, three-ish feet. Three-ish feet in length? Yeah. Oh, okay. I thought you meant like off the wall. No, yeah. That sounds dangerous. My dad rigged up a hovering mechanism. It was pretty advanced. Right. And the pendulum was super sharp, so you better watch out.",negative,0.5022430419921875,0.10651599615812302,0.3912409543991089,0.5022430419921875,-0.3957270458340645,0.6087590456008911
6,"But you're familiar with the kind that are tall and stand on the floor. Yeah. So those are actually, you know and love them as grandfather clocks. Sure. But the name grandfather clock didn't come around until about 200 years after grandfather clocks were invented.",neutral,0.6159098148345947,0.2897304892539978,0.6159098148345947,0.09435967355966568,0.19537081569433212,0.3840901851654053
7,"Yeah, and it's funny when I saw this that they were invented about 350 years ago and when I saw that they were originally called long case clocks I immediately would like to that name better. Long case better than grandfather. Okay. Yeah, I think it's cool. I'm ambivalent toward both.",positive,0.8602574467658997,0.8602574467658997,0.12848015129566193,0.011262361891567707,0.848995084874332,0.8715198487043381
8,I like the I do like cuckoo clocks for sure. But the name grandfather clock will we'll find out where it came from but the grandfather clock itself or the long case clock was actually one of the first clocks. And it kind of makes sense because if you think about it when you start out inventing something new it's huge. It's enormous.,positive,0.8698986172676086,0.8698986172676086,0.12141939252614975,0.0086819501593709,0.8612166671082377,0.8785806074738503
9,"And then as you get better at it over time and find like workarounds and shortcuts and stuff, you can make it smaller and smaller. So it makes sense that some of the first actually precise clocks were giant grandfather clocks.",neutral,0.5892482995986938,0.3775739073753357,0.5892482995986938,0.033177852630615234,0.34439605474472046,0.41075170040130615
10,"And again, they were originally, they just had the pendulum swinging back and forth. You could mount them on the wall. They were called wag on the wall clocks.",neutral,0.8494815230369568,0.08993961662054062,0.8494815230369568,0.06057893857359886,0.029360678046941757,0.1505184769630432
