source,target,weight
1,2,0.6462103724479675
1,3,0.47334417700767517
1,4,0.6216586828231812
1,5,0.5726588368415833
1,6,0.4801539480686188
1,7,0.5966635942459106
1,8,0.5459153056144714
1,9,0.5113239288330078
1,10,0.593878984451294
1,11,0.3862188160419464
1,12,0.6194455623626709
1,13,0.4983409643173218
2,3,0.46302926540374756
2,4,0.6600556373596191
2,5,0.5023247599601746
2,6,0.3649495840072632
2,7,0.4689050018787384
2,8,0.4160040616989136
2,9,0.3503890633583069
2,10,0.5502175092697144
2,11,0.25411301851272583
2,12,0.48273640871047974
2,13,0.40584713220596313
3,4,0.6098499894142151
3,5,0.5574883222579956
3,6,0.494465172290802
3,7,0.39207035303115845
3,8,0.5329113602638245
3,9,0.5764279365539551
3,10,0.5342375040054321
3,11,0.43047285079956055
3,12,0.5824564695358276
3,13,0.5830743908882141
4,5,0.6488177180290222
4,6,0.5176445245742798
4,7,0.4961990714073181
4,8,0.5871895551681519
4,9,0.4837345480918884
4,10,0.6093961000442505
4,11,0.41678744554519653
4,12,0.6558106541633606
4,13,0.5655503869056702
5,6,0.5096976161003113
5,7,0.38010644912719727
5,8,0.5279453992843628
5,9,0.535643458366394
5,10,0.5937995314598083
5,11,0.5964576005935669
5,12,0.6015535593032837
5,13,0.5287347435951233
6,7,0.36851364374160767
6,8,0.55278480052948
6,9,0.6102302074432373
6,10,0.4789831340312958
6,11,0.3971816599369049
6,12,0.6191827654838562
6,13,0.5149332880973816
7,8,0.39903900027275085
7,9,0.3394290804862976
7,10,0.40496861934661865
7,11,0.23803798854351044
7,12,0.47677090764045715
7,13,0.4170650243759155
8,9,0.4860486686229706
8,10,0.5188688635826111
8,11,0.37506866455078125
8,12,0.6512312293052673
8,13,0.6428230404853821
9,10,0.5271973609924316
9,11,0.5577264428138733
9,12,0.6018308401107788
9,13,0.4349015951156616
10,11,0.45521944761276245
10,12,0.6335746049880981
10,13,0.46237385272979736
11,12,0.46513262391090393
11,13,0.3880254030227661
12,13,0.7110512256622314
