source,target,weight
1,2,0.31203752756118774
1,3,0.362470418214798
1,4,0.2822858989238739
1,5,0.3115634322166443
1,6,0.2142317295074463
1,7,0.30700594186782837
1,8,0.22818198800086975
1,9,0.34960439801216125
1,10,0.3254986107349396
1,11,0.2713310420513153
2,3,0.7669892311096191
2,4,0.48811566829681396
2,5,0.5481785535812378
2,6,0.5127260088920593
2,7,0.5774334669113159
2,8,0.36526766419410706
2,9,0.6461243629455566
2,10,0.4575214385986328
2,11,0.4728373885154724
3,4,0.4781310260295868
3,5,0.664879560470581
3,6,0.585193395614624
3,7,0.666664719581604
3,8,0.3456915020942688
3,9,0.6303647756576538
3,10,0.4963528513908386
3,11,0.5327045321464539
4,5,0.6039185523986816
4,6,0.5473429560661316
4,7,0.42662033438682556
4,8,0.35988301038742065
4,9,0.45202720165252686
4,10,0.4064159393310547
4,11,0.4199676513671875
5,6,0.6560213565826416
5,7,0.5730408430099487
5,8,0.32916945219039917
5,9,0.5211582779884338
5,10,0.4187987446784973
5,11,0.5082728862762451
6,7,0.5156176090240479
6,8,0.34953659772872925
6,9,0.4454898238182068
6,10,0.37846410274505615
6,11,0.46729955077171326
7,8,0.34161028265953064
7,9,0.5620365738868713
7,10,0.4762519896030426
7,11,0.42313408851623535
8,9,0.5257840752601624
8,10,0.6323320269584656
8,11,0.4582882225513458
9,10,0.5761940479278564
9,11,0.44579100608825684
10,11,0.538788378238678
