source,target,weight
1,2,0.43977004289627075
1,3,0.5178471207618713
1,4,0.38411837816238403
1,5,0.5407952666282654
1,6,0.5416058301925659
1,7,0.39060845971107483
2,3,0.5891876816749573
2,4,0.4822036623954773
2,5,0.2758212685585022
2,6,0.3303218185901642
2,7,0.3465738892555237
3,4,0.443911075592041
3,5,0.3725075125694275
3,6,0.3932933807373047
3,7,0.3747069835662842
4,5,0.1799083650112152
4,6,0.3834816813468933
4,7,0.35736018419265747
5,6,0.43870997428894043
5,7,0.29312336444854736
6,7,0.5477668046951294
