source,target,weight
1,2,0.39096665382385254
1,3,0.30157390236854553
1,4,0.1972314715385437
1,5,0.23228105902671814
1,6,0.200776606798172
1,7,0.42511114478111267
2,3,0.32903578877449036
2,4,0.653215765953064
2,5,0.48424044251441956
2,6,0.48917871713638306
2,7,0.49273616075515747
3,4,0.32199379801750183
3,5,0.1667645126581192
3,6,0.1967540681362152
3,7,0.5756807327270508
4,5,0.6100890040397644
4,6,0.588760495185852
4,7,0.4498189389705658
5,6,0.6208000183105469
5,7,0.3628288805484772
6,7,0.40413254499435425
