source,target,weight
1,2,0.6723576784133911
1,3,0.6014114618301392
1,4,0.6433241367340088
1,5,0.630685567855835
1,6,0.6879919767379761
1,7,0.553093433380127
1,8,0.2899494767189026
2,3,0.6490395665168762
2,4,0.6079428195953369
2,5,0.5897701978683472
2,6,0.5684914588928223
2,7,0.6015685200691223
2,8,0.31064683198928833
3,4,0.4944671094417572
3,5,0.5045139193534851
3,6,0.5317416787147522
3,7,0.5833839178085327
3,8,0.3948773741722107
4,5,0.6432678699493408
4,6,0.636133074760437
4,7,0.6315327882766724
4,8,0.2720295786857605
5,6,0.7081775069236755
5,7,0.5654466152191162
5,8,0.2944539189338684
6,7,0.5670474767684937
6,8,0.26912474632263184
7,8,0.3040447235107422
