event_id,1,2,3,4,5,6,7,8,9,10,11,12,13
1,0.0,0.6462104,0.47334418,0.6216587,0.57265884,0.48015395,0.5966636,0.5459153,0.5113239,0.593879,0.38621882,0.61944556,0.49834096
2,0.6462104,0.0,0.46302927,0.66005564,0.50232476,0.36494958,0.468905,0.41600406,0.35038906,0.5502175,0.25411302,0.4827364,0.40584713
3,0.47334418,0.46302927,0.0,0.60985,0.5574883,0.49446517,0.39207035,0.53291136,0.57642794,0.5342375,0.43047285,0.58245647,0.5830744
4,0.6216587,0.66005564,0.60985,0.0,0.6488177,0.5176445,0.49619907,0.58718956,0.48373455,0.6093961,0.41678745,0.65581065,0.5655504
5,0.57265884,0.50232476,0.5574883,0.6488177,0.0,0.5096976,0.38010645,0.5279454,0.53564346,0.59379953,0.5964576,0.60155356,0.52873474
6,0.48015395,0.36494958,0.49446517,0.5176445,0.5096976,0.0,0.36851364,0.5527848,0.6102302,0.47898313,0.39718166,0.61918277,0.5149333
7,0.5966636,0.468905,0.39207035,0.49619907,0.38010645,0.36851364,0.0,0.399039,0.33942908,0.40496862,0.23803799,0.4767709,0.41706502
8,0.5459153,0.41600406,0.53291136,0.58718956,0.5279454,0.5527848,0.399039,0.0,0.48604867,0.51886886,0.37506866,0.6512312,0.64282304
9,0.5113239,0.35038906,0.57642794,0.48373455,0.53564346,0.6102302,0.33942908,0.48604867,0.0,0.52719736,0.55772644,0.60183084,0.4349016
10,0.593879,0.5502175,0.5342375,0.6093961,0.59379953,0.47898313,0.40496862,0.51886886,0.52719736,0.0,0.45521945,0.6335746,0.46237385
11,0.38621882,0.25411302,0.43047285,0.41678745,0.5964576,0.39718166,0.23803799,0.37506866,0.55772644,0.45521945,0.0,0.46513262,0.3880254
12,0.61944556,0.4827364,0.58245647,0.65581065,0.60155356,0.61918277,0.4767709,0.6512312,0.60183084,0.6335746,0.46513262,0.0,0.7110512
13,0.49834096,0.40584713,0.5830744,0.5655504,0.52873474,0.5149333,0.41706502,0.64282304,0.4349016,0.46237385,0.3880254,0.7110512,0.0
