event_id,1,2,3,4,5,6,7,8,9,10,11
1,0.0,0.31203753,0.36247042,0.2822859,0.31156343,0.21423173,0.30700594,0.22818199,0.3496044,0.3254986,0.27133104
2,0.31203753,0.0,0.76698923,0.48811567,0.54817855,0.512726,0.57743347,0.36526766,0.64612436,0.45752144,0.4728374
3,0.36247042,0.76698923,0.0,0.47813103,0.66487956,0.5851934,0.6666647,0.3456915,0.6303648,0.49635285,0.53270453
4,0.2822859,0.48811567,0.47813103,0.0,0.60391855,0.54734296,0.42662033,0.359883,0.4520272,0.40641594,0.41996765
5,0.31156343,0.54817855,0.66487956,0.60391855,0.0,0.65602136,0.57304084,0.32916945,0.5211583,0.41879874,0.5082729
6,0.21423173,0.512726,0.5851934,0.54734296,0.65602136,0.0,0.5156176,0.3495366,0.44548982,0.3784641,0.46729955
7,0.30700594,0.57743347,0.6666647,0.42662033,0.57304084,0.5156176,0.0,0.34161028,0.5620366,0.476252,0.4231341
8,0.22818199,0.36526766,0.3456915,0.359883,0.32916945,0.3495366,0.34161028,0.0,0.5257841,0.632332,0.45828822
9,0.3496044,0.64612436,0.6303648,0.4520272,0.5211583,0.44548982,0.5620366,0.5257841,0.0,0.57619405,0.445791
10,0.3254986,0.45752144,0.49635285,0.40641594,0.41879874,0.3784641,0.476252,0.632332,0.57619405,0.0,0.5387884
11,0.27133104,0.4728374,0.53270453,0.41996765,0.5082729,0.46729955,0.4231341,0.45828822,0.445791,0.5387884,0.0
