event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.0,0.3370746,0.36040556,0.46601504,0.5450145,0.38086912,0.2671261,0.45153862,0.53425705,0.4813745,0.5542519,0.46077245,0.4521705,0.3708879,0.34323436,0.3846834,0.32187983
2,0.3370746,0.0,0.50102746,0.52223915,0.39730328,0.44203275,0.3569357,0.43056652,0.47324118,0.38443282,0.43096304,0.3366887,0.41200802,0.30614147,0.2782458,0.3225917,0.31273937
3,0.36040556,0.50102746,0.0,0.5406634,0.49347156,0.6547923,0.4238266,0.5154156,0.52500445,0.5418608,0.44871396,0.37802964,0.47249037,0.37826872,0.3030649,0.41666225,0.38358888
4,0.46601504,0.52223915,0.5406634,0.0,0.5968221,0.6081623,0.43835944,0.54680943,0.6274873,0.5776222,0.49701232,0.37973163,0.55219144,0.4145878,0.39139223,0.5130228,0.40967584
5,0.5450145,0.39730328,0.49347156,0.5968221,0.0,0.5042754,0.3471682,0.49967843,0.57790524,0.67642325,0.5005348,0.4022416,0.46163657,0.3083855,0.34888417,0.44085014,0.34318712
6,0.38086912,0.44203275,0.6547923,0.6081623,0.5042754,0.0,0.4624184,0.5455602,0.66697156,0.59487987,0.56646836,0.47104228,0.6100886,0.46738917,0.43382517,0.51532745,0.4542474
7,0.2671261,0.3569357,0.4238266,0.43835944,0.3471682,0.4624184,0.0,0.32483977,0.37875506,0.42360613,0.31477922,0.26298046,0.36858636,0.2383502,0.29336062,0.39416254,0.24670757
8,0.45153862,0.43056652,0.5154156,0.54680943,0.49967843,0.5455602,0.32483977,0.0,0.6859983,0.5191437,0.56613266,0.47630757,0.48198834,0.41771635,0.30027175,0.43041041,0.37538415
9,0.53425705,0.47324118,0.52500445,0.6274873,0.57790524,0.66697156,0.37875506,0.6859983,0.0,0.64093745,0.68641365,0.5162146,0.5167422,0.46818992,0.4648127,0.50428665,0.49911016
10,0.4813745,0.38443282,0.5418608,0.5776222,0.67642325,0.59487987,0.42360613,0.5191437,0.64093745,0.0,0.50213027,0.39763486,0.4715236,0.29166013,0.3206654,0.3927589,0.3738084
11,0.5542519,0.43096304,0.44871396,0.49701232,0.5005348,0.56646836,0.31477922,0.56613266,0.68641365,0.50213027,0.0,0.6140153,0.5888887,0.50745994,0.45830566,0.49717113,0.5855702
12,0.46077245,0.3366887,0.37802964,0.37973163,0.4022416,0.47104228,0.26298046,0.47630757,0.5162146,0.39763486,0.6140153,0.0,0.5527488,0.3368976,0.36889404,0.37397075,0.41011208
13,0.4521705,0.41200802,0.47249037,0.55219144,0.46163657,0.6100886,0.36858636,0.48198834,0.5167422,0.4715236,0.5888887,0.5527488,0.0,0.54479784,0.3852003,0.54071707,0.5172747
14,0.3708879,0.30614147,0.37826872,0.4145878,0.3083855,0.46738917,0.2383502,0.41771635,0.46818992,0.29166013,0.50745994,0.3368976,0.54479784,0.0,0.4132573,0.5227564,0.5056612
15,0.34323436,0.2782458,0.3030649,0.39139223,0.34888417,0.43382517,0.29336062,0.30027175,0.4648127,0.3206654,0.45830566,0.36889404,0.3852003,0.4132573,0.0,0.66004735,0.503721
16,0.3846834,0.3225917,0.41666225,0.5130228,0.44085014,0.51532745,0.39416254,0.43041041,0.50428665,0.3927589,0.49717113,0.37397075,0.54071707,0.5227564,0.66004735,0.0,0.54679596
17,0.32187983,0.31273937,0.38358888,0.40967584,0.34318712,0.4542474,0.24670757,0.37538415,0.49911016,0.3738084,0.5855702,0.41011208,0.5172747,0.5056612,0.503721,0.54679596,0.0
