event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,0.0,0.35730404,0.5300078,0.59645456,0.46035534,0.4945499,0.5047988,0.33642995,0.27819616,0.22587779,0.5576625,0.5740314,0.3954399,0.21642905,0.41935414,0.36509994,0.47914976,0.34176585,0.28842333,0.24378547,0.2828204,0.32999966,0.50086147,0.34764633,0.36060563,0.3270183,0.32523793,0.19268546,0.265954,0.37584117,0.4833664,0.12578154,0.19262347,0.27121693,0.21336485,0.5003071,0.28412008,0.40456265,0.3037871,0.3928012,0.3345794
2,0.35730404,0.0,0.33352563,0.32924062,0.28305984,0.2880279,0.37430748,0.28329265,0.28601488,0.15471593,0.28537747,0.34569868,0.41646028,0.2746231,0.23040247,0.26896152,0.26885277,0.2654497,0.16460423,0.1580286,0.1396138,0.25954267,0.51673025,0.19513251,0.21360154,0.25983033,0.15128136,0.27462983,0.28434113,0.3798205,0.41162884,0.2980111,0.3289811,0.27906772,0.2832661,0.27569258,0.23902251,0.359026,0.23667577,0.24443512,0.23236835
3,0.5300078,0.33352563,0.0,0.60963666,0.41689295,0.3809992,0.3341232,0.41480762,0.35185647,0.31127772,0.4447199,0.46485743,0.39297667,0.43378738,0.3991014,0.4249838,0.42689392,0.44568744,0.5172403,0.34544963,0.35839617,0.33470964,0.4317919,0.45016342,0.38214234,0.4957822,0.5494574,0.36281753,0.3073903,0.51581085,0.43741947,0.2266994,0.2333938,0.34896222,0.36775145,0.5812274,0.43851763,0.47176933,0.38587546,0.44997418,0.4097459
4,0.59645456,0.32924062,0.60963666,0.0,0.47607237,0.5197132,0.45663768,0.45421532,0.32061234,0.22837254,0.49969423,0.54704905,0.3663774,0.22614451,0.40933698,0.47942826,0.37493837,0.23142569,0.39260697,0.24390712,0.27635214,0.38556564,0.4438411,0.3154878,0.44040102,0.39850935,0.38388398,0.3057965,0.32391155,0.44175708,0.47818753,0.27518052,0.28153983,0.3280861,0.29922655,0.5261391,0.42011392,0.32381904,0.2861366,0.35709095,0.34392363
5,0.46035534,0.28305984,0.41689295,0.47607237,0.0,0.44702074,0.40014023,0.3918192,0.26318222,0.3173913,0.4474435,0.52725315,0.5012601,0.32173216,0.3277576,0.42412513,0.3109187,0.26870376,0.25971523,0.21593967,0.15789104,0.32101777,0.37802687,0.30200562,0.42675406,0.34893748,0.25281972,0.18021235,0.20859179,0.3660267,0.49839306,0.14438938,0.18748188,0.22404468,0.21506347,0.35468942,0.27306262,0.3743815,0.32236627,0.31275457,0.2824625
6,0.4945499,0.2880279,0.3809992,0.5197132,0.44702074,0.0,0.45898387,0.3322934,0.34651265,0.3050536,0.40830728,0.42378664,0.47037992,0.33206135,0.3454616,0.4603685,0.39637366,0.21833499,0.1953797,0.25004068,0.20587789,0.24664016,0.38635612,0.2199172,0.3810737,0.28924942,0.29498655,0.23755652,0.26625735,0.3968456,0.5826198,0.20592798,0.22560531,0.25374243,0.26456115,0.4817713,0.27541253,0.28618935,0.3591326,0.4038178,0.26459798
7,0.5047988,0.37430748,0.3341232,0.45663768,0.40014023,0.45898387,0.0,0.28695145,0.3206603,0.26533347,0.46248317,0.4610458,0.49012527,0.23511398,0.3892297,0.23588897,0.28246757,0.22425087,0.2560129,0.2198887,0.11637476,0.4148438,0.42179173,0.19102685,0.28824162,0.18859749,0.2284857,0.24029325,0.2566491,0.30449763,0.46979955,0.13377252,0.12932399,0.21566302,0.14306489,0.3152412,0.26662564,0.29213846,0.18994021,0.30837056,0.09991698
8,0.33642995,0.28329265,0.41480762,0.45421532,0.3918192,0.3322934,0.28695145,0.0,0.28516358,0.37485737,0.41347995,0.5001576,0.34625286,0.28207794,0.32420886,0.4752647,0.33469945,0.33523917,0.28533167,0.34314078,0.26992473,0.32213315,0.39314425,0.3744589,0.3950873,0.39383298,0.27242807,0.34206542,0.30570832,0.32891974,0.31998217,0.24347672,0.29966193,0.32786375,0.2583635,0.42206135,0.28183204,0.44519714,0.5518701,0.47042668,0.42044455
9,0.27819616,0.28601488,0.35185647,0.32061234,0.26318222,0.34651265,0.3206603,0.28516358,0.0,0.2927643,0.38313997,0.3742587,0.37242818,0.22413793,0.34776023,0.4125127,0.2643668,0.24393612,0.36239046,0.3252,0.14477521,0.23560487,0.21366902,0.2992856,0.2646977,0.3726417,0.37391347,0.42065206,0.57893467,0.45431334,0.40820295,0.36549395,0.28519705,0.3306379,0.4376821,0.47620258,0.2382798,0.30811793,0.22325745,0.3471321,0.2437095
10,0.22587779,0.15471593,0.31127772,0.22837254,0.3173913,0.3050536,0.26533347,0.37485737,0.2927643,0.0,0.3593536,0.47453883,0.28333133,0.4303371,0.32491544,0.33562303,0.43293262,0.45647275,0.2953289,0.45407152,0.28545272,0.12589285,0.14457281,0.50681543,0.33822024,0.37509722,0.24558699,0.32911873,0.28523648,0.49225315,0.26076603,0.2184196,0.2708846,0.2843542,0.1872969,0.39901006,0.22549532,0.5227989,0.39781725,0.47259045,0.31950578
11,0.5576625,0.28537747,0.4447199,0.49969423,0.4474435,0.40830728,0.46248317,0.41347995,0.38313997,0.3593536,0.0,0.65186393,0.34014612,0.27659097,0.45396048,0.4170743,0.389531,0.32278067,0.32815456,0.32479998,0.29114637,0.23779726,0.44738272,0.37712327,0.41577065,0.3979087,0.4543854,0.35884693,0.32927662,0.45595816,0.40600857,0.2860916,0.23799348,0.34675685,0.34556523,0.5070567,0.3128529,0.45170423,0.38570628,0.470009,0.35142154
12,0.5740314,0.34569868,0.46485743,0.54704905,0.52725315,0.42378664,0.4610458,0.5001576,0.3742587,0.47453883,0.65186393,0.0,0.43708584,0.31839338,0.55408406,0.5066968,0.41625315,0.37459528,0.27840504,0.2621369,0.29339778,0.3683555,0.4000453,0.43144065,0.38886547,0.39652863,0.35654736,0.34376204,0.26287657,0.49492553,0.46822947,0.26908198,0.30919087,0.32956022,0.29859546,0.547333,0.2736064,0.49314263,0.39646134,0.44160482,0.33911163
13,0.3954399,0.41646028,0.39297667,0.3663774,0.5012601,0.47037992,0.49012527,0.34625286,0.37242818,0.28333133,0.34014612,0.43708584,0.0,0.30648732,0.36892188,0.34839094,0.3225556,0.2583571,0.25290284,0.26238903,0.13788469,0.40092188,0.41995135,0.17494902,0.2818371,0.32411903,0.22265297,0.21523497,0.3267288,0.28943053,0.4530267,0.107011825,0.24107817,0.27277148,0.27636844,0.3421651,0.24155731,0.3351305,0.26305154,0.34976265,0.24402988
14,0.21642905,0.2746231,0.43378738,0.22614451,0.32173216,0.33206135,0.23511398,0.28207794,0.22413793,0.4303371,0.27659097,0.31839338,0.30648732,0.0,0.44634447,0.3537295,0.32023895,0.37887198,0.25868163,0.2298511,0.23936903,0.26725608,0.2545719,0.32320702,0.25301582,0.36407247,0.2180914,0.24579039,0.18707858,0.44013166,0.38526535,0.27577245,0.33796233,0.22306107,0.23427157,0.30107328,0.24539098,0.34475094,0.33128372,0.24715644,0.21702711
15,0.41935414,0.23040247,0.3991014,0.40933698,0.3277576,0.3454616,0.3892297,0.32420886,0.34776023,0.32491544,0.45396048,0.55408406,0.36892188,0.44634447,0.0,0.45273858,0.3899243,0.33095682,0.27950847,0.26264513,0.22978126,0.23944303,0.2554704,0.36089167,0.32022297,0.32911485,0.2421325,0.376075,0.4114897,0.37584206,0.38346496,0.37362126,0.37432015,0.35189784,0.24849814,0.4178182,0.22409111,0.31280565,0.2914213,0.30383232,0.1972019
16,0.36509994,0.26896152,0.4249838,0.47942826,0.42412513,0.4603685,0.23588897,0.4752647,0.4125127,0.33562303,0.4170743,0.5066968,0.34839094,0.3537295,0.45273858,0.0,0.4199248,0.26375106,0.2737548,0.38461286,0.14564642,0.2547723,0.3068739,0.2525071,0.33351225,0.4445296,0.3868609,0.372508,0.34362996,0.41272187,0.48309252,0.45976445,0.3673562,0.51112264,0.44589242,0.47639558,0.27342558,0.34363094,0.4271975,0.3729252,0.27575308
17,0.47914976,0.26885277,0.42689392,0.37493837,0.3109187,0.39637366,0.28246757,0.33469945,0.2643668,0.43293262,0.389531,0.41625315,0.3225556,0.32023895,0.3899243,0.4199248,0.0,0.36036915,0.2893406,0.32909545,0.12644398,0.1545316,0.2550342,0.30132273,0.3381337,0.35945275,0.36220518,0.3824505,0.35830373,0.41336882,0.49908677,0.34110984,0.4135086,0.48398367,0.39180762,0.46641272,0.3418436,0.4710569,0.41972652,0.43097177,0.2876808
