event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1,0.0,0.42376,0.4195424,0.10634118,0.16335975,0.1455463,0.13235974,0.14878002,0.18103932,0.0752436,0.1211655,0.078319974,-0.017962102,0.07822125,0.13276754,0.052129686,0.04854826,0.022336442,0.11358826,0.16246568,0.09231152,0.17197587,0.21121016,0.048929576,0.13824478,0.18219237,0.14186954,0.13794789,0.116587035
2,0.42376,0.0,0.3868065,0.23996134,0.19098249,0.18059534,0.3091392,0.25221848,0.25465417,0.15807912,0.23093975,0.19288574,0.17613032,0.31956124,0.21511798,0.14280036,0.19945972,0.22554189,0.33083495,0.23543957,0.07498914,0.06494415,0.29219323,0.2025364,0.15738164,0.26360548,0.11880955,0.21820638,0.21716109
3,0.4195424,0.3868065,0.0,0.36403447,0.2836584,0.32952836,0.30775318,0.45395264,0.30063236,0.19610962,0.35336468,0.33807626,0.3337318,0.3042135,0.32671618,0.15865327,0.31481916,0.20757382,0.42954496,0.15655357,0.16572756,0.2769454,0.30506998,0.4114935,0.28911507,0.34623677,0.11811712,0.25073203,0.33403027
4,0.10634118,0.23996134,0.36403447,0.0,0.40992308,0.63279074,0.51132184,0.62537587,0.4523542,0.5884731,0.3247905,0.46669632,0.34075883,0.35547522,0.41568342,0.24544796,0.44592595,0.3317669,0.50523,0.21067898,0.1706318,0.25915456,0.4700507,0.4301716,0.3558624,0.24972752,0.1821463,0.38700774,0.4041972
5,0.16335975,0.19098249,0.2836584,0.40992308,0.0,0.35923153,0.30122694,0.34236822,0.21091819,0.48448923,0.4878598,0.34228593,0.22341727,0.2191815,0.17884217,0.15744887,0.34993938,0.2725971,0.30813113,0.22714026,0.11967871,0.22138351,0.34982365,0.33609632,0.23431435,0.1710836,0.16532949,0.19545223,0.2909713
6,0.1455463,0.18059534,0.32952836,0.63279074,0.35923153,0.0,0.5519336,0.7425708,0.63710296,0.45833868,0.38829178,0.5207677,0.4406526,0.37273526,0.47604585,0.3777508,0.47518408,0.43621227,0.6625128,0.29491058,0.15917194,0.4227381,0.6167239,0.61818117,0.47362483,0.29201975,0.19475983,0.46189633,0.5009259
7,0.13235974,0.3091392,0.30775318,0.51132184,0.30122694,0.5519336,0.0,0.5952182,0.46657193,0.37679738,0.37072888,0.3801566,0.3971349,0.35440475,0.5167701,0.34327587,0.41906646,0.43275765,0.5019652,0.31040877,0.071284086,0.3340886,0.42556116,0.477022,0.37977597,0.28352562,0.1938406,0.3934513,0.42590952
8,0.14878002,0.25221848,0.45395264,0.62537587,0.34236822,0.7425708,0.5952182,0.0,0.60206985,0.40120453,0.4527852,0.5959621,0.50161725,0.42986798,0.57243675,0.3919355,0.55383354,0.37171507,0.696109,0.27022997,0.19855785,0.35387877,0.5957862,0.59303355,0.43045163,0.32096782,0.25955516,0.4834669,0.5286894
9,0.18103932,0.25465417,0.30063236,0.4523542,0.21091819,0.63710296,0.46657193,0.60206985,0.0,0.3458416,0.35597366,0.39543995,0.4274637,0.3647786,0.5109287,0.34274215,0.4747504,0.5024532,0.5650382,0.19078659,0.06756434,0.37282166,0.43353498,0.49022898,0.35397094,0.3022323,0.20170175,0.31451276,0.36245137
10,0.0752436,0.15807912,0.19610962,0.5884731,0.48448923,0.45833868,0.37679738,0.40120453,0.3458416,0.0,0.34112954,0.42524692,0.31529716,0.25219327,0.24448712,0.295596,0.42953905,0.45310244,0.3473005,0.21842863,0.12795389,0.2726586,0.30678487,0.37251908,0.26881102,0.16730638,0.19003303,0.24829243,0.32221913
11,0.1211655,0.23093975,0.35336468,0.3247905,0.4878598,0.38829178,0.37072888,0.4527852,0.35597366,0.34112954,0.0,0.5276332,0.4516918,0.47046387,0.5084164,0.29569736,0.587217,0.37716585,0.42135164,0.298407,0.21321616,0.38057455,0.38332498,0.4567985,0.3889821,0.2948112,0.29695863,0.252372,0.41996765
12,0.078319974,0.19288574,0.33807626,0.46669632,0.34228593,0.5207677,0.3801566,0.5959621,0.39543995,0.42524692,0.5276332,0.0,0.547883,0.51972854,0.36551788,0.398595,0.57163525,0.39147437,0.5154468,0.24346088,0.15896235,0.2924461,0.37490278,0.44051987,0.2839723,0.19741897,0.20032981,0.362588,0.412893
13,-0.017962102,0.17613032,0.3337318,0.34075883,0.22341727,0.4406526,0.3971349,0.50161725,0.4274637,0.31529716,0.4516918,0.547883,0.0,0.391457,0.40400678,0.33914042,0.62115866,0.39292887,0.5343981,0.23590417,0.15018858,0.2400553,0.27197233,0.47725153,0.31147966,0.14598322,0.16037779,0.32097036,0.40161172
14,0.07822125,0.31956124,0.3042135,0.35547522,0.2191815,0.37273526,0.35440475,0.42986798,0.3647786,0.25219327,0.47046387,0.51972854,0.391457,0.0,0.36909515,0.24182612,0.3874518,0.30428436,0.3713183,0.24328299,0.20675397,0.17547414,0.26642475,0.35684317,0.18519863,0.20430939,0.08668258,0.33365867,0.3771985
15,0.13276754,0.21511798,0.32671618,0.41568342,0.17884217,0.47604585,0.5167701,0.57243675,0.5109287,0.24448712,0.5084164,0.36551788,0.40400678,0.36909515,0.0,0.4397716,0.48749048,0.4069363,0.47104862,0.27058625,0.22935006,0.30293047,0.36730978,0.46731126,0.40389085,0.333526,0.3050567,0.38186288,0.48742682
16,0.052129686,0.14280036,0.15865327,0.24544796,0.15744887,0.3777508,0.34327587,0.3919355,0.34274215,0.295596,0.29569736,0.398595,0.33914042,0.24182612,0.4397716,0.0,0.40449715,0.3987796,0.34800693,0.21745422,0.12668198,0.3200925,0.1480177,0.34121954,0.35561192,0.19930762,0.1576169,0.1801276,0.35010198
17,0.04854826,0.19945972,0.31481916,0.44592595,0.34993938,0.47518408,0.41906646,0.55383354,0.4747504,0.42953905,0.587217,0.57163525,0.62115866,0.3874518,0.48749048,0.40449715,0.0,0.3968411,0.4754905,0.2972009,0.1973133,0.33262414,0.3681983,0.43290746,0.40168115,0.14238842,0.25008917,0.32467544,0.41098276
18,0.022336442,0.22554189,0.20757382,0.3317669,0.2725971,0.43621227,0.43275765,0.37171507,0.5024532,0.45310244,0.37716585,0.39147437,0.39292887,0.30428436,0.4069363,0.3987796,0.3968411,0.0,0.5574353,0.22352196,0.08614477,0.38061112,0.33073875,0.4673686,0.3384226,0.31664214,0.22449647,0.29222697,0.3291604
19,0.11358826,0.33083495,0.42954496,0.50523,0.30813113,0.6625128,0.5019652,0.696109,0.5650382,0.3473005,0.42135164,0.5154468,0.5343981,0.3713183,0.47104862,0.34800693,0.4754905,0.5574353,0.0,0.2920062,0.17219397,0.35288122,0.5325076,0.53660357,0.44809446,0.3597296,0.175839,0.4174808,0.45940906
20,0.16246568,0.23543957,0.15655357,0.21067898,0.22714026,0.29491058,0.31040877,0.27022997,0.19078659,0.21842863,0.298407,0.24346088,0.23590417,0.24328299,0.27058625,0.21745422,0.2972009,0.22352196,0.2920062,0.0,0.3840068,0.33284363,0.4547674,0.30206257,0.38790482,0.47430152,0.3456227,0.36991584,0.48422775
21,0.09231152,0.07498914,0.16572756,0.1706318,0.11967871,0.15917194,0.071284086,0.19855785,0.06756434,0.12795389,0.21321616,0.15896235,0.15018858,0.20675397,0.22935006,0.12668198,0.1973133,0.08614477,0.17219397,0.3840068,0.0,0.2916984,0.32867563,0.17279345,0.23163225,0.33951643,0.3467067,0.24118239,0.35493988
22,0.17197587,0.06494415,0.2769454,0.25915456,0.22138351,0.4227381,0.3340886,0.35387877,0.37282166,0.2726586,0.38057455,0.2924461,0.2400553,0.17547414,0.30293047,0.3200925,0.33262414,0.38061112,0.35288122,0.33284363,0.2916984,0.0,0.43078756,0.49285772,0.45068556,0.28562248,0.31235027,0.16747352,0.31772834
23,0.21121016,0.29219323,0.30506998,0.4700507,0.34982365,0.6167239,0.42556116,0.5957862,0.43353498,0.30678487,0.38332498,0.37490278,0.27197233,0.26642475,0.36730978,0.1480177,0.3681983,0.33073875,0.5325076,0.4547674,0.32867563,0.43078756,0.0,0.56744117,0.5324268,0.34453893,0.3151341,0.35950112,0.39536983
24,0.048929576,0.2025364,0.4114935,0.4301716,0.33609632,0.61818117,0.477022,0.59303355,0.49022898,0.37251908,0.4567985,0.44051987,0.47725153,0.35684317,0.46731126,0.34121954,0.43290746,0.4673686,0.53660357,0.30206257,0.17279345,0.49285772,0.56744117,0.0,0.59695315,0.3002753,0.19422841,0.35007185,0.46332192
25,0.13824478,0.15738164,0.28911507,0.3558624,0.23431435,0.47362483,0.37977597,0.43045163,0.35397094,0.26881102,0.3889821,0.2839723,0.31147966,0.18519863,0.40389085,0.35561192,0.40168115,0.3384226,0.44809446,0.38790482,0.23163225,0.45068556,0.5324268,0.59695315,0.0,0.3399232,0.15009335,0.3018335,0.3922333
26,0.18219237,0.26360548,0.34623677,0.24972752,0.1710836,0.29201975,0.28352562,0.32096782,0.3022323,0.16730638,0.2948112,0.19741897,0.14598322,0.20430939,0.333526,0.19930762,0.14238842,0.31664214,0.3597296,0.47430152,0.33951643,0.28562248,0.34453893,0.3002753,0.3399232,0.0,0.23877212,0.2834537,0.5006556
27,0.14186954,0.11880955,0.11811712,0.1821463,0.16532949,0.19475983,0.1938406,0.25955516,0.20170175,0.19003303,0.29695863,0.20032981,0.16037779,0.08668258,0.3050567,0.1576169,0.25008917,0.22449647,0.175839,0.3456227,0.3467067,0.31235027,0.3151341,0.19422841,0.15009335,0.23877212,0.0,0.1929656,0.21346958
28,0.13794789,0.21820638,0.25073203,0.38700774,0.19545223,0.46189633,0.3934513,0.4834669,0.31451276,0.24829243,0.252372,0.362588,0.32097036,0.33365867,0.38186288,0.1801276,0.32467544,0.29222697,0.4174808,0.36991584,0.24118239,0.16747352,0.35950112,0.35007185,0.3018335,0.2834537,0.1929656,0.0,0.5157546
29,0.116587035,0.21716109,0.33403027,0.4041972,0.2909713,0.5009259,0.42590952,0.5286894,0.36245137,0.32221913,0.41996765,0.412893,0.40161172,0.3771985,0.48742682,0.35010198,0.41098276,0.3291604,0.45940906,0.48422775,0.35493988,0.31772834,0.39536983,0.46332192,0.3922333,0.5006556,0.21346958,0.5157546,0.0
