event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
1,0.0,0.395476,0.49646342,0.25228322,0.3323865,0.62000614,0.077963255,0.16591425,0.37216824,0.48724574,0.34696138,0.27381182,0.44529572,0.20445347,0.07698251,0.078042135,0.20069744
2,0.395476,0.0,0.38335925,0.3013329,0.26725423,0.4282625,0.24654374,0.3910762,0.22802545,0.39106488,0.23608977,0.3030877,0.48905653,0.34117442,0.185476,0.25046107,0.4146903
3,0.49646342,0.38335925,0.0,0.6443697,0.46047443,0.6095205,0.41651097,0.4566547,0.1736934,0.38370904,0.15708707,0.21674682,0.47748294,0.27680126,0.10776632,0.12943183,0.31636745
4,0.25228322,0.3013329,0.6443697,0.0,0.56026506,0.4855032,0.3973805,0.46472394,0.13261892,0.16134273,0.05885466,0.10417656,0.33256823,0.23158716,0.14601004,0.16882277,0.2609472
5,0.3323865,0.26725423,0.46047443,0.56026506,0.0,0.46714383,0.2654563,0.30673605,0.16859493,0.20963381,0.14049748,0.15956053,0.3124418,0.23551708,0.21475385,0.105872445,0.25703132
6,0.62000614,0.4282625,0.6095205,0.4855032,0.46714383,0.0,0.34432137,0.34081036,0.33582094,0.41637176,0.29889175,0.24673477,0.52220654,0.34889972,0.21283516,0.17778286,0.31477654
7,0.077963255,0.24654374,0.41651097,0.3973805,0.2654563,0.34432137,0.0,0.5082478,0.11790152,0.19542311,0.07542479,0.11561582,0.3107159,0.27204543,0.1651657,0.17145225,0.25282425
8,0.16591425,0.3910762,0.4566547,0.46472394,0.30673605,0.34081036,0.5082478,0.0,0.10450695,0.14384632,0.11359873,0.28690127,0.42711377,0.41948593,0.18945415,0.13644934,0.38486293
9,0.37216824,0.22802545,0.1736934,0.13261892,0.16859493,0.33582094,0.11790152,0.10450695,0.0,0.3086779,0.19505939,0.29116789,0.26147738,0.19935143,0.14336732,0.014228186,0.13956618
10,0.48724574,0.39106488,0.38370904,0.16134273,0.20963381,0.41637176,0.19542311,0.14384632,0.3086779,0.0,0.5320251,0.23780866,0.3913392,0.16100752,0.15596518,0.22202545,0.31372645
11,0.34696138,0.23608977,0.15708707,0.05885466,0.14049748,0.29889175,0.07542479,0.11359873,0.19505939,0.5320251,0.0,0.21339354,0.34635282,0.20293576,0.25702012,0.14717224,0.20824131
12,0.27381182,0.3030877,0.21674682,0.10417656,0.15956053,0.24673477,0.11561582,0.28690127,0.29116789,0.23780866,0.21339354,0.0,0.30629712,0.45312566,0.32097283,0.088098325,0.2120907
13,0.44529572,0.48905653,0.47748294,0.33256823,0.3124418,0.52220654,0.3107159,0.42711377,0.26147738,0.3913392,0.34635282,0.30629712,0.0,0.44602418,0.3577131,0.18972476,0.5619271
14,0.20445347,0.34117442,0.27680126,0.23158716,0.23551708,0.34889972,0.27204543,0.41948593,0.19935143,0.16100752,0.20293576,0.45312566,0.44602418,0.0,0.43801433,0.18342675,0.510179
15,0.07698251,0.185476,0.10776632,0.14601004,0.21475385,0.21283516,0.1651657,0.18945415,0.14336732,0.15596518,0.25702012,0.32097283,0.3577131,0.43801433,0.0,0.2680346,0.45547566
16,0.078042135,0.25046107,0.12943183,0.16882277,0.105872445,0.17778286,0.17145225,0.13644934,0.014228186,0.22202545,0.14717224,0.088098325,0.18972476,0.18342675,0.2680346,0.0,0.3928305
17,0.20069744,0.4146903,0.31636745,0.2609472,0.25703132,0.31477654,0.25282425,0.38486293,0.13956618,0.31372645,0.20824131,0.2120907,0.5619271,0.510179,0.45547566,0.3928305,0.0
