event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1,0.0,0.42482322,0.22491989,0.25656068,0.17605144,0.34258556,0.083237715,0.31997326,0.1059717,0.3743162,0.19976921,0.39401597,0.3369735,0.37924817,0.20823744,0.15190506,0.24315909,0.28253663,0.18236394,0.16759843,0.05313192,0.3128207,0.16592506,0.21492675,0.29185927,0.29537222,0.34570706,0.3866719,0.26568386,0.08831968,0.27401304,0.28383893,0.2383456,0.32588738,0.43845618,0.34900218,0.37918344,0.37026596,0.22056296,0.3085608,0.32161805,0.28420895,0.29969737,0.2840914,0.22457908,0.15785202,0.15655561,0.107131936,0.26030165,0.25163093,0.18166116,0.20616364,0.21713243,0.22597928,0.22357778
2,0.42482322,0.0,0.25427553,0.24849762,0.3359496,0.3153106,0.18267125,0.3795254,0.12883711,0.3455122,0.20508829,0.41849378,0.38668507,0.42552108,0.3404087,0.20342702,0.23654194,0.38815546,0.29809794,0.35500732,0.26084328,0.37438858,0.32102466,0.3304466,0.28541356,0.24348988,0.37437075,0.4337027,0.33409953,0.17771573,0.38043275,0.34937352,0.24158576,0.404094,0.3381631,0.40987042,0.40541923,0.4143494,0.2944731,0.23022997,0.25893447,0.33454287,0.20339388,0.19279219,0.1866282,0.20805587,0.24958092,0.3536542,0.3033847,0.30354938,0.29702705,0.42194384,0.19613717,0.28650397,0.2111864
3,0.22491989,0.25427553,0.0,0.2387096,0.37545416,0.33268067,0.15137477,0.47805703,0.004964183,0.3696407,0.006860706,0.31701458,0.17694375,0.30289453,0.1175075,0.24056952,0.15693119,0.32726708,0.22291216,0.27388632,0.050645303,0.2670802,0.03526966,0.31764287,0.2929971,0.31595635,0.25455487,0.45029214,0.15158722,0.10569699,0.20915514,0.3493881,0.1351662,0.19111523,0.25316978,0.34537327,0.36763525,0.3109825,0.11888374,0.2537332,0.42525318,0.10919265,0.32152343,0.15796155,0.22502369,0.083417945,0.23834187,0.118139066,0.17492566,0.24005406,0.15629345,0.21219161,0.2502863,0.30960363,0.2519953
4,0.25656068,0.24849762,0.2387096,0.0,0.2327613,0.2500679,0.2583674,0.26529616,0.13100812,0.3119141,0.18033203,0.13957304,0.3470859,0.35269418,0.27302843,0.1322386,0.22496869,0.31194705,0.24672008,0.27993086,0.12706457,0.27323928,0.16218995,0.30278772,0.23309588,0.17083094,0.2895031,0.24188437,0.15651026,0.17071383,0.240728,0.1794624,0.1124586,0.24588136,0.19501783,0.1890082,0.17326595,0.21223342,0.169691,0.25334844,0.2871122,0.16301444,0.050463255,0.1536259,0.0446853,0.07590425,0.109982,0.11459698,0.12582399,0.015661752,0.1694705,0.1757029,0.021605486,0.15575242,0.06930494
5,0.17605144,0.3359496,0.37545416,0.2327613,0.0,0.30207473,0.25039068,0.35340536,0.20595807,0.4085029,0.061133247,0.46374583,0.37128037,0.31494397,0.21611033,0.4822436,0.18435809,0.46739006,0.3816241,0.17441021,0.1295285,0.31100497,0.21989939,0.43150306,0.4638958,0.34458914,0.36125147,0.5069886,0.28178144,0.24815969,0.46298653,0.35668543,0.19022094,0.29573426,0.2012391,0.48820952,0.32662433,0.35467258,0.16742611,0.26119998,0.34432465,0.15105082,0.20259355,0.2605661,0.26610845,0.14171022,0.2753317,0.23945844,0.21335182,0.28029427,0.24253243,0.25395906,0.2447712,0.34107018,0.25192562
6,0.34258556,0.3153106,0.33268067,0.2500679,0.30207473,0.0,0.17938647,0.42625895,0.12323148,0.3243057,0.16760781,0.3524535,0.37773585,0.3763841,0.10898907,0.32058665,0.39337575,0.47565624,0.39344883,0.31509843,0.23331183,0.24055769,0.2489222,0.38324335,0.18015295,0.28738806,0.3407851,0.4737479,0.24729224,0.23691672,0.3736016,0.31831658,0.16764815,0.18629503,0.23568107,0.44568214,0.30286902,0.3105209,0.23213264,0.36675635,0.3941605,0.2515879,0.22536504,0.2930652,0.25096402,0.20468725,0.26857468,0.18488303,0.23605865,0.2965395,0.3858106,0.27290884,0.24117124,0.44725806,0.37153798
7,0.083237715,0.18267125,0.15137477,0.2583674,0.25039068,0.17938647,0.0,0.15338919,0.28737798,0.13010052,0.024787495,0.21501568,0.20911592,0.10461379,0.1287264,0.2632209,0.16518384,0.17850414,0.12989938,0.19733806,0.16474901,0.1639552,0.042254552,0.06439455,0.17832367,0.06267754,0.21986428,0.14028224,0.043705195,0.06955231,0.24208297,0.12184954,-0.0028267885,0.059901156,0.06462764,0.09149429,0.030931793,0.11538053,0.1274373,0.12440445,0.090702005,0.22906223,0.060338687,0.18080756,0.0498382,0.030517824,-0.048384227,0.11003945,0.09101268,-0.022106355,0.16120607,0.13918318,-0.024408845,0.051465306,0.010068377
8,0.31997326,0.3795254,0.47805703,0.26529616,0.35340536,0.42625895,0.15338919,0.0,0.17759074,0.32530227,0.079249606,0.3938927,0.31364366,0.42793962,0.20002759,0.25612548,0.39348546,0.4621853,0.3402409,0.30077082,0.14275044,0.3214245,0.23205346,0.39767778,0.3010872,0.30454987,0.36983204,0.45845044,0.27351853,0.23139472,0.37436903,0.4370937,0.16956185,0.30058792,0.24619465,0.37287483,0.3259458,0.35266435,0.13478126,0.27612752,0.40331757,0.38882405,0.31000486,0.2773974,0.31648356,0.2166061,0.28884217,0.26448777,0.25217986,0.25515193,0.37612426,0.42042735,0.2862752,0.34697708,0.31746334
9,0.1059717,0.12883711,0.004964183,0.13100812,0.20595807,0.12323148,0.28737798,0.17759074,0.0,0.11949734,0.21504287,0.17394641,0.19660662,0.10225069,0.042367235,0.20156243,0.22674644,0.18652496,0.25467896,0.22173357,0.15879709,0.17900905,0.22745827,0.25048018,0.21963046,0.18606023,0.13558301,0.19851911,0.1441115,0.12440215,0.21716177,0.0709495,-0.018118674,0.20606248,0.1248315,0.20142639,0.15583639,0.15354234,0.07370312,0.22365905,0.18268071,0.20133075,0.025371216,0.11839296,0.14807692,0.061328646,0.1055349,0.21529205,0.13204154,0.07549764,0.18010154,0.1319533,0.17701995,0.11384185,0.19710714
10,0.3743162,0.3455122,0.3696407,0.3119141,0.4085029,0.3243057,0.13010052,0.32530227,0.11949734,0.0,0.13873363,0.5435093,0.437402,0.43989542,0.22023565,0.1688925,0.20420773,0.48854953,0.37688288,0.3480907,0.118627325,0.39570892,0.1222874,0.31175157,0.24556279,0.34638223,0.41494986,0.41922873,0.20240524,0.2583543,0.46846467,0.34460813,0.28435794,0.2818595,0.25098467,0.31655693,0.33928445,0.4162702,0.10830057,0.294419,0.41353866,0.20820042,0.20211281,0.080240816,0.17531095,0.16515148,0.2641382,0.17379947,0.20129304,0.23631063,0.24501115,0.2530795,0.10433784,0.22796002,0.22460398
11,0.19976921,0.20508829,0.006860706,0.18033203,0.061133247,0.16760781,0.024787495,0.079249606,0.21504287,0.13873363,0.0,0.13072261,0.2538004,0.15944012,0.16406424,0.09284076,0.21144357,0.20330238,0.1489478,0.16963214,0.08613057,0.18438399,0.15666689,0.17812194,0.06607985,0.17120236,0.1640997,0.17925031,0.16463274,0.09456489,0.15052734,0.066828296,0.10130986,0.26524448,0.16281988,0.18918867,0.12462481,0.16196123,0.21147914,0.16428666,0.1446467,0.2149094,0.062208347,0.13907085,0.033358473,0.20525451,0.15478,0.08316337,0.115237474,0.10997134,0.119865164,0.02115075,0.09359527,0.054449946,0.08605348
12,0.39401597,0.41849378,0.31701458,0.13957304,0.46374583,0.3524535,0.21501568,0.3938927,0.17394641,0.5435093,0.13072261,0.0,0.5050616,0.44062358,0.22116525,0.2252849,0.18943468,0.5740748,0.5109707,0.14907984,0.16530436,0.2821062,0.2672078,0.39121035,0.35019624,0.34597424,0.48564842,0.50021875,0.1968679,0.2159013,0.7120514,0.4704923,0.25940767,0.32743815,0.23239188,0.43955398,0.4012289,0.4378602,0.11747635,0.23598962,0.43469298,0.263732,0.20844565,0.3103725,0.32106036,0.0869469,0.32919455,0.19115257,0.22487377,0.31920412,0.29296705,0.35076436,0.2140964,0.39585572,0.34402966
13,0.3369735,0.38668507,0.17694375,0.3470859,0.37128037,0.37773585,0.20911592,0.31364366,0.19660662,0.437402,0.2538004,0.5050616,0.0,0.47809634,0.31809402,0.22513425,0.2553439,0.5757855,0.41168398,0.13690227,0.12582314,0.32569915,0.3450777,0.31112194,0.27192387,0.3282093,0.4853205,0.4392081,0.26864702,0.25356245,0.54467887,0.40616018,0.22149816,0.25771907,0.3451756,0.4245366,0.31965846,0.40656018,0.3165503,0.29203653,0.34649462,0.23440175,0.24876973,0.22919968,0.22841448,0.19295266,0.23893924,0.18354584,0.17674613,0.32565835,0.2834126,0.21400976,0.16742231,0.28361207,0.34108818
14,0.37924817,0.42552108,0.30289453,0.35269418,0.31494397,0.3763841,0.10461379,0.42793962,0.10225069,0.43989542,0.15944012,0.44062358,0.47809634,0.0,0.36016044,0.09222097,0.21279517,0.3844704,0.3099989,0.17853345,0.05618175,0.39965326,0.20668462,0.36847982,0.21938524,0.26641405,0.31607297,0.3726925,0.12345651,0.18357229,0.38535312,0.26752713,0.26189405,0.2563533,0.33333534,0.28097627,0.27259973,0.3484931,0.16592088,0.25560528,0.39426887,0.21628305,0.22864826,0.13509753,0.10591548,0.09915735,0.26547563,0.13890594,0.1490354,0.2324143,0.22407597,0.29811656,0.16170521,0.32072514,0.1726156
15,0.20823744,0.3404087,0.1175075,0.27302843,0.21611033,0.10898907,0.1287264,0.20002759,0.042367235,0.22023565,0.16406424,0.22116525,0.31809402,0.36016044,0.0,0.10950419,0.16872649,0.19307797,0.16988268,0.114720374,0.2801965,0.18052205,0.13250913,0.11113131,0.2138391,0.14381993,0.29121348,0.17151666,0.1882573,0.18733922,0.29727644,0.25657925,0.15591374,0.23488766,0.2242428,0.21863212,0.26657426,0.13730827,0.10081623,0.16748738,0.15650548,0.26365942,0.09561901,0.13293537,0.072642714,0.21356583,0.10053459,0.20079874,0.27424547,0.2233872,0.12029133,0.31262827,0.05354423,0.084611244,0.16361457
16,0.15190506,0.20342702,0.24056952,0.1322386,0.4822436,0.32058665,0.2632209,0.25612548,0.20156243,0.1688925,0.09284076,0.2252849,0.22513425,0.09222097,0.10950419,0.0,0.3909922,0.26278365,0.2335082,0.16999094,0.21697667,0.2149255,0.28000006,0.29026803,0.29679078,0.17195068,0.23251753,0.3427348,0.450416,0.29875615,0.23918626,0.2788379,0.1686616,0.27711284,0.19225079,0.45668426,0.27548888,0.1953992,0.2416809,0.37763354,0.31802285,0.21887985,0.11078241,0.4886647,0.27809608,0.31865782,0.23306851,0.278722,0.2322616,0.2796224,0.22717461,0.20994362,0.3066444,0.1942358,0.2573797
17,0.24315909,0.23654194,0.15693119,0.22496869,0.18435809,0.39337575,0.16518384,0.39348546,0.22674644,0.20420773,0.21144357,0.18943468,0.2553439,0.21279517,0.16872649,0.3909922,0.0,0.23576695,0.23353043,0.23627439,0.3025796,0.282703,0.29641408,0.29548523,0.17796105,0.19344862,0.27475235,0.23573044,0.37599882,0.29195848,0.2538179,0.24213484,0.12788133,0.26248738,0.2192654,0.30650693,0.2234084,0.14852743,0.19687925,0.3922971,0.25313574,0.49575913,0.19682935,0.2890712,0.26254308,0.25990087,0.18545203,0.2085421,0.20604299,0.21512441,0.24541584,0.29335943,0.24409631,0.20821181,0.18100667
18,0.28253663,0.38815546,0.32726708,0.31194705,0.46739006,0.47565624,0.17850414,0.4621853,0.18652496,0.48854953,0.20330238,0.5740748,0.5757855,0.3844704,0.19307797,0.26278365,0.23576695,0.0,0.5430433,0.30476165,0.14291452,0.26943058,0.20041752,0.41471326,0.25842685,0.3784653,0.5024864,0.561949,0.31872094,0.29769477,0.5436606,0.4872088,0.2096803,0.2737938,0.2230994,0.5452053,0.36031824,0.46743998,0.2090542,0.3022725,0.46541393,0.23250373,0.23118362,0.20442188,0.2934308,0.2066426,0.36947286,0.24666198,0.3087054,0.37890506,0.3376617,0.35764343,0.28420842,0.4071321,0.3812181
19,0.18236394,0.29809794,0.22291216,0.24672008,0.3816241,0.39344883,0.12989938,0.3402409,0.25467896,0.37688288,0.1489478,0.5109707,0.41168398,0.3099989,0.16988268,0.2335082,0.23353043,0.5430433,0.0,0.39467412,0.3855137,0.21923776,0.2828841,0.38902524,0.22054005,0.25692514,0.32154995,0.40380257,0.24142316,0.35527325,0.46942836,0.3752289,0.108086206,0.2344065,0.14408222,0.41072592,0.31244585,0.32516152,0.11337823,0.26357856,0.35939074,0.21075425,0.1499856,0.23636045,0.28347296,0.12788989,0.3410793,0.2669836,0.22932312,0.264656,0.27369788,0.35461155,0.2109513,0.3678235,0.2562176
20,0.16759843,0.35500732,0.27388632,0.27993086,0.17441021,0.31509843,0.19733806,0.30077082,0.22173357,0.3480907,0.16963214,0.14907984,0.13690227,0.17853345,0.114720374,0.16999094,0.23627439,0.30476165,0.39467412,0.0,0.2792926,0.19997008,0.08103234,0.21430221,0.16493173,0.11422289,0.1940866,0.23547567,0.23689403,0.2444705,0.14411865,0.25159228,0.11752837,0.13599283,0.13214898,0.20946799,0.15240638,0.252203,0.18884218,0.118923396,0.17398718,0.1415468,0.10221148,0.02904338,0.045041963,0.137225,0.16618851,0.22135742,0.12740909,0.07207773,0.19663775,0.18616822,0.038719147,0.19510932,0.08957695
21,0.05313192,0.26084328,0.050645303,0.12706457,0.1295285,0.23331183,0.16474901,0.14275044,0.15879709,0.118627325,0.08613057,0.16530436,0.12582314,0.05618175,0.2801965,0.21697667,0.3025796,0.14291452,0.3855137,0.2792926,0.0,0.15262504,0.30384287,0.20088813,0.09106415,0.08550091,0.15061565,0.13543513,0.29965964,0.28444436,0.2573978,0.18661135,0.00056145934,0.089607395,0.089266494,0.16031206,0.2034957,0.023616184,0.13181801,0.23580283,0.12594862,0.24353956,0.015143336,0.16166773,0.13325432,0.24571194,0.15776743,0.27719873,0.15451646,0.23227018,0.25146717,0.29097503,0.1452173,0.1894038,0.14054891
22,0.3128207,0.37438858,0.2670802,0.27323928,0.31100497,0.24055769,0.1639552,0.3214245,0.17900905,0.39570892,0.18438399,0.2821062,0.32569915,0.39965326,0.18052205,0.2149255,0.282703,0.26943058,0.21923776,0.19997008,0.15262504,0.0,0.18490943,0.33927315,0.30716616,0.31528696,0.41217858,0.31614912,0.19290061,0.24808979,0.33883527,0.28046227,0.13613437,0.26435244,0.39687875,0.24613857,0.28083065,0.3979842,0.23658696,0.29214445,0.25279424,0.2976287,0.21370302,0.16106828,0.09105333,0.13558465,0.16311921,0.114831954,0.12607145,0.19443117,0.23284113,0.16492939,0.12446093,0.25329694,0.12747861
