event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.0,0.2891664,0.3567019,0.33622396,0.22233051,0.19848223,0.2608648,0.3347515,0.1900432,0.15010406,0.23428059,0.20265108,0.21473381,0.13392933,0.1377746,0.25506902,0.16161385,0.30259886,0.2908026,0.18018414
2,0.2891664,0.0,0.23267835,0.38139272,0.2697658,0.21035336,0.016354524,0.21361737,0.27794677,0.17287372,0.19138995,0.22984952,0.1414545,0.19491896,0.02426389,0.1325138,0.17846294,0.18886688,0.21579811,0.29454988
3,0.3567019,0.23267835,0.0,0.23660067,0.13747993,0.18960643,0.19549826,0.19117746,0.07577062,0.016063843,0.10623888,0.010710033,0.057051934,0.060161367,0.07292523,0.2247676,0.1866982,0.18848146,0.2638586,0.30380794
4,0.33622396,0.38139272,0.23660067,0.0,0.31458294,0.25416633,0.25314578,0.37923002,0.3704387,0.36309955,0.32471183,0.46445942,0.3241523,0.15127294,0.35011786,0.36240688,0.24531642,0.33011305,0.34427616,0.25747612
5,0.22233051,0.2697658,0.13747993,0.31458294,0.0,0.19138256,0.1712599,0.2950131,0.61824673,0.56267357,0.368117,0.2938213,0.14960204,0.34203258,0.24018016,0.46625286,0.2554705,0.273312,0.38046205,0.29594496
6,0.19848223,0.21035336,0.18960643,0.25416633,0.19138256,0.0,0.6336817,0.550633,0.11997995,0.25090426,0.15921651,0.033649348,0.2243894,0.03763071,0.009966141,0.3371606,0.24282146,0.5420795,0.28710058,0.29661477
7,0.2608648,0.016354524,0.19549826,0.25314578,0.1712599,0.6336817,0.0,0.6530573,0.072339624,0.29892492,0.117032185,0.041608926,0.2902704,0.009359196,0.030033914,0.24967691,0.17496121,0.60797095,0.45728692,0.27799085
8,0.3347515,0.21361737,0.19117746,0.37923002,0.2950131,0.550633,0.6530573,0.0,0.23931088,0.41564196,0.28361043,0.16273549,0.29461604,0.038505465,0.06886281,0.2621438,0.2112275,0.65411186,0.38790643,0.3419772
9,0.1900432,0.27794677,0.07577062,0.3704387,0.61824673,0.11997995,0.072339624,0.23931088,0.0,0.6444421,0.47615144,0.40132993,0.3006096,0.49968773,0.46749577,0.4656446,0.24908942,0.1870177,0.33484337,0.21468739
10,0.15010406,0.17287372,0.016063843,0.36309955,0.56267357,0.25090426,0.29892492,0.41564196,0.6444421,0.0,0.5019001,0.49216178,0.42244583,0.5406655,0.47757614,0.5273832,0.21230201,0.41426095,0.39779007,0.2757048
11,0.23428059,0.19138995,0.10623888,0.32471183,0.368117,0.15921651,0.117032185,0.28361043,0.47615144,0.5019001,0.0,0.28718325,0.28509367,0.40867883,0.3009837,0.48264644,0.3479219,0.26892713,0.3632655,0.20903596
12,0.20265108,0.22984952,0.010710033,0.46445942,0.2938213,0.033649348,0.041608926,0.16273549,0.40132993,0.49216178,0.28718325,0.0,0.45279157,0.38965398,0.4992752,0.3179423,0.09513904,0.20919846,0.22407845,0.19221869
13,0.21473381,0.1414545,0.057051934,0.3241523,0.14960204,0.2243894,0.2902704,0.29461604,0.3006096,0.42244583,0.28509367,0.45279157,0.0,0.2908051,0.49728525,0.33579627,0.116387375,0.31544697,0.30272084,0.22345932
14,0.13392933,0.19491896,0.060161367,0.15127294,0.34203258,0.03763071,0.009359196,0.038505465,0.49968773,0.5406655,0.40867883,0.38965398,0.2908051,0.0,0.54589605,0.4794948,0.24484697,0.09597774,0.203071,0.15834439
15,0.1377746,0.02426389,0.07292523,0.35011786,0.24018016,0.009966141,0.030033914,0.06886281,0.46749577,0.47757614,0.3009837,0.4992752,0.49728525,0.54589605,0.0,0.49518853,0.25326717,0.14263773,0.24337351,0.15469661
16,0.25506902,0.1325138,0.2247676,0.36240688,0.46625286,0.3371606,0.24967691,0.2621438,0.4656446,0.5273832,0.48264644,0.3179423,0.33579627,0.4794948,0.49518853,0.0,0.43549347,0.31541517,0.37795946,0.34698632
17,0.16161385,0.17846294,0.1866982,0.24531642,0.2554705,0.24282146,0.17496121,0.2112275,0.24908942,0.21230201,0.3479219,0.09513904,0.116387375,0.24484697,0.25326717,0.43549347,0.0,0.2042628,0.21764044,0.23520315
18,0.30259886,0.18886688,0.18848146,0.33011305,0.273312,0.5420795,0.60797095,0.65411186,0.1870177,0.41426095,0.26892713,0.20919846,0.31544697,0.09597774,0.14263773,0.31541517,0.2042628,0.0,0.44861683,0.29003295
19,0.2908026,0.21579811,0.2638586,0.34427616,0.38046205,0.28710058,0.45728692,0.38790643,0.33484337,0.39779007,0.3632655,0.22407845,0.30272084,0.203071,0.24337351,0.37795946,0.21764044,0.44861683,0.0,0.34276876
20,0.18018414,0.29454988,0.30380794,0.25747612,0.29594496,0.29661477,0.27799085,0.3419772,0.21468739,0.2757048,0.20903596,0.19221869,0.22345932,0.15834439,0.15469661,0.34698632,0.23520315,0.29003295,0.34276876,0.0
