event_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1,0.0,0.5689729,0.59332633,0.37646094,0.45011032,0.5383303,0.2847547,0.16444859,0.40113813,0.48260215,0.30649218,0.39015454,0.44889414,0.4736645,0.46651918,0.54699945,0.4963376,0.46198687,0.3213809,0.39528364,0.14063169,0.2725501,0.16268846
2,0.5689729,0.0,0.7266458,0.6186947,0.47268498,0.48555934,0.28055796,0.2781901,0.43669623,0.6602749,0.47238228,0.5396373,0.55686486,0.53699446,0.5261011,0.6159281,0.522791,0.47064334,0.52082694,0.6404883,0.27145493,0.1847639,0.22371273
3,0.59332633,0.7266458,0.0,0.51824963,0.46480322,0.56589,0.3628468,0.24642357,0.46023086,0.5760001,0.3955725,0.5241143,0.43576187,0.51419103,0.3965075,0.6092478,0.5034581,0.38475016,0.46164647,0.5344701,0.28590292,0.19539544,0.2403012
4,0.37646094,0.6186947,0.51824963,0.0,0.38044125,0.43119046,0.25616327,0.27250877,0.297738,0.4547534,0.41389495,0.4018334,0.40939054,0.40533385,0.33678585,0.4641601,0.43723744,0.3603174,0.4750449,0.5720895,0.33023807,0.18331218,0.26673293
5,0.45011032,0.47268498,0.46480322,0.38044125,0.0,0.3591606,0.33142126,0.14211237,0.28869396,0.44607094,0.34354293,0.39497328,0.3970623,0.47142214,0.2215575,0.37037948,0.4627883,0.45736137,0.45857665,0.5273418,0.2764968,0.23216903,0.21002279
6,0.5383303,0.48555934,0.56589,0.43119046,0.3591606,0.0,0.38560626,0.23578605,0.32026374,0.45187676,0.3414656,0.27261835,0.36274496,0.4080189,0.40812597,0.5007549,0.60142356,0.37639603,0.39562616,0.40256315,0.34596118,0.14301424,0.21484692
7,0.2847547,0.28055796,0.3628468,0.25616327,0.33142126,0.38560626,0.0,0.15647157,0.21495959,0.25284973,0.14838992,0.22327824,0.31097996,0.2255442,0.13274205,0.19725852,0.2794203,0.28037798,0.25047415,0.27900675,0.21769771,0.40928122,0.20400724
8,0.16444859,0.2781901,0.24642357,0.27250877,0.14211237,0.23578605,0.15647157,0.0,0.14619833,0.0958272,0.15161797,0.06129538,0.120103195,0.100861326,0.1449467,0.07945132,0.14166369,0.12760498,0.22818689,0.21985458,0.23764387,0.019493958,0.35561788
9,0.40113813,0.43669623,0.46023086,0.297738,0.28869396,0.32026374,0.21495959,0.14619833,0.0,0.4439787,0.34678417,0.6086075,0.33641815,0.48375916,0.24550009,0.574036,0.40045887,0.23488867,0.4610442,0.2543627,0.17436849,0.1734994,0.03758899
10,0.48260215,0.6602749,0.5760001,0.4547534,0.44607094,0.45187676,0.25284973,0.0958272,0.4439787,0.0,0.556439,0.51720464,0.51533985,0.48781192,0.41770872,0.6159954,0.5222856,0.43214765,0.56458485,0.6242573,0.2730272,0.19920346,0.2283943
11,0.30649218,0.47238228,0.3955725,0.41389495,0.34354293,0.3414656,0.14838992,0.15161797,0.34678417,0.556439,0.0,0.29780805,0.40920132,0.28047687,0.31297964,0.39783955,0.40122485,0.40541708,0.44899866,0.5137013,0.3284535,0.07061537,0.2680207
12,0.39015454,0.5396373,0.5241143,0.4018334,0.39497328,0.27261835,0.22327824,0.06129538,0.6086075,0.51720464,0.29780805,0.0,0.4606369,0.6008973,0.32006407,0.55647916,0.4262533,0.29239517,0.5642963,0.39514133,0.14225054,0.251541,0.07002592
13,0.44889414,0.55686486,0.43576187,0.40939054,0.3970623,0.36274496,0.31097996,0.120103195,0.33641815,0.51533985,0.40920132,0.4606369,0.0,0.604831,0.44366074,0.5622876,0.6080377,0.552274,0.41735873,0.44857392,0.25710717,0.24954985,0.17847976
14,0.4736645,0.53699446,0.51419103,0.40533385,0.47142214,0.4080189,0.2255442,0.100861326,0.48375916,0.48781192,0.28047687,0.6008973,0.604831,0.0,0.4069527,0.6690991,0.5857781,0.44411933,0.44947845,0.4242398,0.33260724,0.23006544,0.15415238
15,0.46651918,0.5261011,0.3965075,0.33678585,0.2215575,0.40812597,0.13274205,0.1449467,0.24550009,0.41770872,0.31297964,0.32006407,0.44366074,0.4069527,0.0,0.48274317,0.414978,0.45686635,0.29977566,0.4000218,0.22756867,0.2197255,0.117447235
