pupilSize,time_in_ms,time_corrected
4973.0,3522538,0
5072.0,3522540,2
5166.0,3522542,4
5205.0,3522544,6
5245.0,3522546,8
5341.0,3522548,10
5413.0,3522550,12
5452.0,3522552,14
5485.0,3522554,16
5501.0,3522556,18
5506.0,3522558,20
5517.0,3522560,22
5524.0,3522562,24
5527.0,3522564,26
5536.0,3522566,28
5528.0,3522568,30
5527.0,3522570,32
5522.0,3522572,34
5527.0,3522574,36
5527.0,3522576,38
5525.0,3522578,40
5522.0,3522580,42
5520.0,3522582,44
5523.0,3522584,46
5527.0,3522586,48
5537.0,3522588,50
5535.0,3522590,52
5532.0,3522592,54
5537.0,3522594,56
5547.0,3522596,58
5548.0,3522598,60
5544.0,3522600,62
5545.0,3522602,64
5550.0,3522604,66
5556.0,3522606,68
5556.0,3522608,70
5553.0,3522610,72
5553.0,3522612,74
5546.0,3522614,76
5546.0,3522616,78
5550.0,3522618,80
5549.0,3522620,82
5551.0,3522622,84
5552.0,3522624,86
5552.0,3522626,88
5552.0,3522628,90
5552.0,3522630,92
5562.0,3522632,94
5566.0,3522634,96
5569.0,3522636,98
5571.0,3522638,100
5573.0,3522640,102
5575.0,3522642,104
5575.0,3522644,106
5574.0,3522646,108
5578.0,3522648,110
5581.0,3522650,112
5579.0,3522652,114
5575.0,3522654,116
5580.0,3522656,118
5589.0,3522658,120
5592.0,3522660,122
5601.0,3522662,124
5611.0,3522664,126
5616.0,3522666,128
5613.0,3522668,130
5618.0,3522670,132
5613.0,3522672,134
5607.0,3522674,136
5611.0,3522676,138
5622.0,3522678,140
5626.0,3522680,142
5622.0,3522682,144
5624.0,3522684,146
5626.0,3522686,148
5627.0,3522688,150
5634.0,3522690,152
5637.0,3522692,154
5636.0,3522694,156
5634.0,3522696,158
5637.0,3522698,160
5649.0,3522700,162
5645.0,3522702,164
5645.0,3522704,166
5650.0,3522706,168
5653.0,3522708,170
5658.0,3522710,172
5666.0,3522712,174
5671.0,3522714,176
5668.0,3522716,178
5666.0,3522718,180
5672.0,3522720,182
5678.0,3522722,184
5681.0,3522724,186
5683.0,3522726,188
5692.0,3522728,190
5692.0,3522730,192
5688.0,3522732,194
5687.0,3522734,196
5693.0,3522736,198
5698.0,3522738,200
5704.0,3522740,202
5716.0,3522742,204
5723.0,3522744,206
5740.0,3522746,208
5748.0,3522748,210
5753.0,3522750,212
5764.0,3522752,214
5773.0,3522754,216
5772.0,3522756,218
5774.0,3522758,220
5777.0,3522760,222
5779.0,3522762,224
5778.0,3522764,226
5776.0,3522766,228
5777.0,3522768,230
5779.0,3522770,232
5780.0,3522772,234
5778.0,3522774,236
5776.0,3522776,238
5781.0,3522778,240
5788.0,3522780,242
5791.0,3522782,244
5787.0,3522784,246
5787.0,3522786,248
5791.0,3522788,250
5797.0,3522790,252
5806.0,3522792,254
5810.0,3522794,256
5809.0,3522796,258
5812.0,3522798,260
5812.0,3522800,262
5808.0,3522802,264
5814.0,3522804,266
5817.0,3522806,268
5818.0,3522808,270
5829.0,3522810,272
5840.0,3522812,274
5846.0,3522814,276
5843.0,3522816,278
5838.0,3522818,280
5843.0,3522820,282
5836.0,3522822,284
5837.0,3522824,286
5838.0,3522826,288
5835.0,3522828,290
5841.0,3522830,292
5848.0,3522832,294
5852.0,3522834,296
5850.0,3522836,298
5851.0,3522838,300
5858.0,3522840,302
5858.0,3522842,304
5858.0,3522844,306
5860.0,3522846,308
5867.0,3522848,310
5869.0,3522850,312
5863.0,3522852,314
5865.0,3522854,316
5869.0,3522856,318
5875.0,3522858,320
5878.0,3522860,322
5873.0,3522862,324
5867.0,3522864,326
5861.0,3522866,328
5859.0,3522868,330
5862.0,3522870,332
5869.0,3522872,334
5867.0,3522874,336
5861.0,3522876,338
5864.0,3522878,340
5865.0,3522880,342
5865.0,3522882,344
5866.0,3522884,346
5866.0,3522886,348
5863.0,3522888,350
5860.0,3522890,352
5860.0,3522892,354
5856.0,3522894,356
5853.0,3522896,358
5850.0,3522898,360
5845.0,3522900,362
5846.0,3522902,364
5849.0,3522904,366
5842.0,3522906,368
5839.0,3522908,370
5835.0,3522910,372
5825.0,3522912,374
5831.0,3522914,376
5828.0,3522916,378
5821.0,3522918,380
5822.0,3522920,382
5824.0,3522922,384
5824.0,3522924,386
5809.0,3522926,388
5806.0,3522928,390
5805.0,3522930,392
5799.0,3522932,394
5793.0,3522934,396
5790.0,3522936,398
5789.0,3522938,400
5783.0,3522940,402
5775.0,3522942,404
5777.0,3522944,406
5776.0,3522946,408
5768.0,3522948,410
5758.0,3522950,412
5757.0,3522952,414
5751.0,3522954,416
5751.0,3522956,418
5751.0,3522958,420
5750.0,3522960,422
5744.0,3522962,424
5743.0,3522964,426
5740.0,3522966,428
5726.0,3522968,430
5718.0,3522970,432
5716.0,3522972,434
5714.0,3522974,436
5714.0,3522976,438
5711.0,3522978,440
5700.0,3522980,442
5696.0,3522982,444
5694.0,3522984,446
5688.0,3522986,448
5683.0,3522988,450
5683.0,3522990,452
5675.0,3522992,454
5667.0,3522994,456
5661.0,3522996,458
5656.0,3522998,460
5654.0,3523000,462
5659.0,3523002,464
5659.0,3523004,466
5649.0,3523006,468
5647.0,3523008,470
5640.0,3523010,472
5642.0,3523012,474
5625.0,3523014,476
5617.0,3523016,478
5617.0,3523018,480
5615.0,3523020,482
5609.0,3523022,484
5607.0,3523024,486
5598.0,3523026,488
5597.0,3523028,490
5598.0,3523030,492
5589.0,3523032,494
5580.0,3523034,496
5579.0,3523036,498
5581.0,3523038,500
5581.0,3523040,502
5570.0,3523042,504
5564.0,3523044,506
5564.0,3523046,508
5566.0,3523048,510
5565.0,3523050,512
5561.0,3523052,514
5557.0,3523054,516
5549.0,3523056,518
5542.0,3523058,520
5545.0,3523060,522
5542.0,3523062,524
5535.0,3523064,526
5533.0,3523066,528
5530.0,3523068,530
5528.0,3523070,532
5527.0,3523072,534
5517.0,3523074,536
5514.0,3523076,538
5511.0,3523078,540
5509.0,3523080,542
5512.0,3523082,544
5500.0,3523084,546
