pupilSize,timestamp,time_corrected,pupil_interp_all
1527.0,966101,0,1527.0
1528.0,966103,2,1528.0
1530.0,966105,4,1530.0
1532.0,966107,6,1532.0
1533.0,966109,8,1533.0
1532.0,966111,10,1532.0
1532.0,966113,12,1532.0
1531.0,966115,14,1531.0
1531.0,966117,16,1531.0
1530.0,966119,18,1530.0
1532.0,966121,20,1532.0
1537.0,966123,22,1537.0
1537.0,966125,24,1537.0
1537.0,966127,26,1537.0
1536.0,966129,28,1536.0
1535.0,966131,30,1535.0
1533.0,966133,32,1533.0
1530.0,966135,34,1530.0
1534.0,966137,36,1534.0
1535.0,966139,38,1535.0
1535.0,966141,40,1535.0
1535.0,966143,42,1535.0
1535.0,966145,44,1535.0
1535.0,966147,46,1535.0
1536.0,966149,48,1536.0
1538.0,966151,50,1538.0
1538.0,966153,52,1538.0
1536.0,966155,54,1536.0
1534.0,966157,56,1534.0
1531.0,966159,58,1531.0
1528.0,966161,60,1528.0
1527.0,966163,62,1527.0
1528.0,966165,64,1528.0
1531.0,966167,66,1531.0
1535.0,966169,68,1535.0
1535.0,966171,70,1535.0
1533.0,966173,72,1533.0
1533.0,966175,74,1533.0
1532.0,966177,76,1532.0
1531.0,966179,78,1531.0
1531.0,966181,80,1531.0
1532.0,966183,82,1532.0
1533.0,966185,84,1533.0
1532.0,966187,86,1532.0
1532.0,966189,88,1532.0
1532.0,966191,90,1532.0
1534.0,966193,92,1534.0
1534.0,966195,94,1534.0
1533.0,966197,96,1533.0
1530.0,966199,98,1530.0
1531.0,966201,100,1531.0
1533.0,966203,102,1533.0
1533.0,966205,104,1533.0
1533.0,966207,106,1533.0
1535.0,966209,108,1535.0
1539.0,966211,110,1539.0
1537.0,966213,112,1537.0
1535.0,966215,114,1535.0
1535.0,966217,116,1535.0
1539.0,966219,118,1539.0
1537.0,966221,120,1537.0
1534.0,966223,122,1534.0
1534.0,966225,124,1534.0
1538.0,966227,126,1538.0
1539.0,966229,128,1539.0
1538.0,966231,130,1538.0
1536.0,966233,132,1536.0
1538.0,966235,134,1538.0
1540.0,966237,136,1540.0
1537.0,966239,138,1537.0
1535.0,966241,140,1535.0
1534.0,966243,142,1534.0
1533.0,966245,144,1533.0
1533.0,966247,146,1533.0
1534.0,966249,148,1534.0
1536.0,966251,150,1536.0
1538.0,966253,152,1538.0
1538.0,966255,154,1538.0
1536.0,966257,156,1536.0
1536.0,966259,158,1536.0
1537.0,966261,160,1537.0
1537.0,966263,162,1537.0
1538.0,966265,164,1538.0
1539.0,966267,166,1539.0
1538.0,966269,168,1538.0
1537.0,966271,170,1537.0
1538.0,966273,172,1538.0
1539.0,966275,174,1539.0
1542.0,966277,176,1542.0
1542.0,966279,178,1542.0
1540.0,966281,180,1540.0
1541.0,966283,182,1541.0
1541.0,966285,184,1541.0
1540.0,966287,186,1540.0
1541.0,966289,188,1541.0
1541.0,966291,190,1541.0
1538.0,966293,192,1538.0
1539.0,966295,194,1539.0
1544.0,966297,196,1544.0
1544.0,966299,198,1544.0
1545.0,966301,200,1545.0
1541.0,966303,202,1541.0
1536.0,966305,204,1536.0
1535.0,966307,206,1535.0
1535.0,966309,208,1535.0
1537.0,966311,210,1537.0
1540.0,966313,212,1540.0
1539.0,966315,214,1539.0
1540.0,966317,216,1540.0
1540.0,966319,218,1540.0
1540.0,966321,220,1540.0
1540.0,966323,222,1540.0
1542.0,966325,224,1542.0
1545.0,966327,226,1545.0
1544.0,966329,228,1544.0
1546.0,966331,230,1546.0
1549.0,966333,232,1549.0
1545.0,966335,234,1545.0
1541.0,966337,236,1541.0
1542.0,966339,238,1542.0
1544.0,966341,240,1544.0
1544.0,966343,242,1544.0
1544.0,966345,244,1544.0
1545.0,966347,246,1545.0
1550.0,966349,248,1550.0
1546.0,966351,250,1546.0
1550.0,966353,252,1550.0
1552.0,966355,254,1552.0
1550.0,966357,256,1550.0
1549.0,966359,258,1549.0
1551.0,966361,260,1551.0
1548.0,966363,262,1548.0
1546.0,966365,264,1546.0
1546.0,966367,266,1546.0
1545.0,966369,268,1545.0
1545.0,966371,270,1545.0
1546.0,966373,272,1546.0
1548.0,966375,274,1548.0
1549.0,966377,276,1549.0
1550.0,966379,278,1550.0
1551.0,966381,280,1551.0
1548.0,966383,282,1548.0
1551.0,966385,284,1551.0
1553.0,966387,286,1553.0
1553.0,966389,288,1553.0
1553.0,966391,290,1553.0
1552.0,966393,292,1552.0
1548.0,966395,294,1548.0
1549.0,966397,296,1549.0
1551.0,966399,298,1551.0
1551.0,966401,300,1551.0
1550.0,966403,302,1550.0
1549.0,966405,304,1549.0
1549.0,966407,306,1549.0
1548.0,966409,308,1548.0
1548.0,966411,310,1548.0
1553.0,966413,312,1553.0
1559.0,966415,314,1559.0
1559.0,966417,316,1559.0
1561.0,966419,318,1561.0
1561.0,966421,320,1561.0
1559.0,966423,322,1559.0
1557.0,966425,324,1557.0
1556.0,966427,326,1556.0
1555.0,966429,328,1555.0
1555.0,966431,330,1555.0
1557.0,966433,332,1557.0
1560.0,966435,334,1560.0
1562.0,966437,336,1562.0
1559.0,966439,338,1559.0
1555.0,966441,340,1555.0
1557.0,966443,342,1557.0
1560.0,966445,344,1560.0
1559.0,966447,346,1559.0
1560.0,966449,348,1560.0
