time_in_ms,pupilSize_clean
0.0,829.8
20.0,825.3
40.0,819.8
60.0,817.0
80.0,811.9
100.0,810.6
120.0,805.4
140.0,801.6
160.0,800.5
180.0,798.4
200.0,799.7
220.0,798.4
240.0,363.89375
260.0,348.15625
280.0,378.78125
300.0,409.40625
320.0,440.03125
340.0,470.65625
360.0,501.28125
380.0,531.90625
400.0,562.53125
420.0,593.15625
440.0,623.78125
460.0,654.40625
480.0,685.03125
500.0,715.65625
520.0,746.28125
540.0,776.90625
560.0,807.53125
580.0,838.15625
600.0,868.78125
620.0,899.40625
640.0,930.03125
660.0,960.65625
680.0,990.975
700.0,995.8
720.0,933.2
740.0,931.2
760.0,927.6
780.0,913.3
800.0,898.1
820.0,904.9
840.0,884.7
860.0,880.4
880.0,873.6
900.0,871.3
920.0,879.5
940.0,886.8
960.0,873.3
980.0,855.6
1000.0,843.6
1020.0,832.8
1040.0,819.6
1060.0,808.6
1080.0,797.7
1100.0,787.9
1120.0,781.4
1140.0,776.7
1160.0,771.7
1180.0,770.6
1200.0,769.1
1220.0,766.6
1240.0,764.8
1260.0,762.5
1280.0,761.1
1300.0,761.1
1320.0,760.5
1340.0,757.6
1360.0,755.8
1380.0,754.3
1400.0,750.7
1420.0,744.2
1440.0,741.2
1460.0,735.9
1480.0,731.1
1500.0,726.4
1520.0,720.4
1540.0,716.5
1560.0,710.9
1580.0,705.8
1600.0,717.7
1620.0,351.53267326732674
1640.0,361.9851485148515
1660.0,413.1732673267326
1680.0,464.36138613861385
1700.0,515.549504950495
1720.0,566.7376237623763
1740.0,617.9257425742574
1760.0,669.1138613861386
1780.0,720.3019801980198
1800.0,771.490099009901
1820.0,794.828712871287
1840.0,766.1
1860.0,743.2
1880.0,728.6
1900.0,724.2
1920.0,724.9
1940.0,724.5
1960.0,727.5
1980.0,731.4
2000.0,735.1
2020.0,736.4
2040.0,740.9
2060.0,742.6
2080.0,745.1
2100.0,744.2
2120.0,742.2
2140.0,737.6
2160.0,734.9
2180.0,729.7
2200.0,726.3
2220.0,723.5
2240.0,719.8
2260.0,718.2
2280.0,714.0
2300.0,713.4
2320.0,713.1
2340.0,711.3
2360.0,710.8
2380.0,710.5
2400.0,707.9
2420.0,707.1
2440.0,707.2
2460.0,706.9
2480.0,703.5
2500.0,702.6
2520.0,701.2
2540.0,698.7
2560.0,696.4
2580.0,695.7
2600.0,690.5
2620.0,687.7
2640.0,682.5
2660.0,680.6
2680.0,676.2
2700.0,672.0
2720.0,668.5
2740.0,667.4
2760.0,663.5
2780.0,661.7
2800.0,659.0
2820.0,656.3
2840.0,652.7
2860.0,651.5
2880.0,648.2
2900.0,649.8
2920.0,646.9
2940.0,644.0
2960.0,643.6
2980.0,644.1
3000.0,643.2
3020.0,642.4
3040.0,643.5
3060.0,649.4592592592593
3080.0,622.8518518518518
3100.0,668.7777777777777
3120.0,709.6111111111111
3140.0,666.4
3160.0,641.4
3180.0,638.4
3200.0,642.4
3220.0,643.4
3240.0,645.0
3260.0,650.6
3280.0,652.0
3300.0,656.2
3320.0,659.7
3340.0,662.6
3360.0,667.8
3380.0,671.7
3400.0,675.5
3420.0,681.3
3440.0,680.9
3460.0,680.5
3480.0,680.6
3500.0,680.3
3520.0,678.9
3540.0,566.461
3560.0,372.46500000000003
3580.0,408.565
3600.0,444.66499999999996
3620.0,480.765
3640.0,516.865
3660.0,552.9649999999999
3680.0,589.0649999999999
3700.0,625.165
3720.0,661.265
3740.0,697.004
3760.0,707.0
3780.0,672.8
3800.0,670.6
3820.0,665.6
3840.0,651.5
3860.0,646.3
3880.0,649.6
3900.0,651.8
3920.0,655.6
3940.0,659.7
3960.0,663.1
3980.0,671.3
4000.0,676.2
4020.0,680.7
4040.0,686.1
4060.0,685.6
4080.0,685.5
4100.0,685.2
4120.0,683.6
4140.0,679.5
4160.0,675.3
4180.0,670.3
4200.0,664.8
4220.0,617.7
4240.0,346.7865853658537
4260.0,395.2012195121951
4280.0,443.6158536585366
4300.0,492.0304878048781
4320.0,540.4451219512196
4340.0,588.859756097561
4360.0,637.2743902439024
4380.0,685.689024390244
4400.0,712.8475609756098
4420.0,687.2
4440.0,673.5
4460.0,701.5
4480.0,703.3
4500.0,677.6
4520.0,659.4
4540.0,655.9
4560.0,660.7
4580.0,659.7
4600.0,662.9
4620.0,666.6
4640.0,674.6
4660.0,680.1
4680.0,683.7
4700.0,692.8
4720.0,701.7
4740.0,708.5
4760.0,715.3
4780.0,722.9
4800.0,729.8
4820.0,737.0
4840.0,742.9
4860.0,747.7
4880.0,752.5
4900.0,755.8
4920.0,758.2
4940.0,760.0
4960.0,760.8
4980.0,764.6
5000.0,769.3
5020.0,774.6
5040.0,775.1
5060.0,778.1
5080.0,789.1
5100.0,767.1
5120.0,428.08000000000004
5140.0,497.05
5160.0,566.7166666666667
5180.0,636.3833333333333
5200.0,706.05
5220.0,775.7166666666667
5240.0,845.3833333333334
5260.0,915.05
5280.0,984.7166666666666
5300.0,982.3033333333333
5320.0,876.3
5340.0,922.4
5360.0,930.7578947368422
5380.0,904.9473684210527
5400.0,1006.8947368421053
5420.0,882.3
5440.0,853.3
5460.0,840.0
5480.0,840.9
5500.0,835.9
5520.0,825.3
5540.0,822.5
5560.0,825.0
5580.0,828.1
5600.0,871.5
5620.0,880.7
5640.0,848.6
5660.0,830.1
5680.0,826.7
5700.0,826.9
5720.0,827.6
5740.0,825.2
5760.0,824.9
5780.0,826.6
5800.0,827.6
5820.0,826.2
5840.0,822.7
5860.0,823.5
5880.0,824.1
5900.0,820.4
5920.0,817.9
5940.0,815.1
5960.0,810.0
5980.0,804.0
6000.0,796.6
6020.0,794.6
6040.0,789.7
6060.0,784.3
6080.0,780.4
6100.0,775.7
6120.0,772.4
6140.0,768.0
6160.0,764.2
6180.0,759.4
6200.0,756.1
6220.0,752.0
6240.0,746.6
6260.0,744.4
6280.0,740.0
6300.0,738.6
6320.0,746.1
6340.0,497.2680412371134
6360.0,316.20103092783506
6380.0,388.46907216494844
6400.0,460.7371134020618
6420.0,533.0051546391753
6440.0,605.2731958762886
6460.0,677.5412371134021
6480.0,749.8092783505155
6500.0,822.0773195876288
6520.0,894.3453608247422
6540.0,908.6731958762887
6560.0,766.1
6580.0,752.5
6600.0,737.4
6620.0,717.2
6640.0,713.4
6660.0,714.5
6680.0,713.8
6700.0,716.2
6720.0,718.1
6740.0,720.7
6760.0,721.4
6780.0,725.8
6800.0,730.2
6820.0,733.0
6840.0,732.9
6860.0,737.3
6880.0,740.4
6900.0,742.0
6920.0,745.6
6940.0,743.1
6960.0,745.7
6980.0,743.2
7000.0,742.9
7020.0,743.5
7040.0,742.8
7060.0,743.0
7080.0,742.4
7100.0,739.8
7120.0,738.0
7140.0,735.2
7160.0,727.2
7180.0,721.1
7200.0,714.2
7220.0,708.0
7240.0,704.3
7260.0,698.6
7280.0,694.0
7300.0,692.0
7320.0,687.1
7340.0,683.1
7360.0,679.5
7380.0,678.7
7400.0,675.3
7420.0,674.3
7440.0,673.4
7460.0,674.3
7480.0,672.8
7500.0,673.6
7520.0,672.8
7540.0,671.4
7560.0,697.5
7580.0,487.75161290322575
7600.0,494.16129032258067
7620.0,537.1720430107528
7640.0,580.1827956989248
7660.0,623.1935483870968
7680.0,666.2043010752689
7700.0,709.2150537634409
7720.0,752.2258064516129
7740.0,795.236559139785
7760.0,833.1569892473119
7780.0,733.0
7800.0,713.3
7820.0,709.3
7840.0,700.6
7860.0,700.9
7880.0,702.3
7900.0,703.2
7920.0,708.6
7940.0,710.5
7960.0,712.8
7980.0,718.7
8000.0,721.9
8020.0,722.5
8040.0,723.3
8060.0,723.7
8080.0,725.0
8100.0,726.0
8120.0,725.3
8140.0,723.1
8160.0,723.0
8180.0,721.8
8200.0,721.4
8220.0,765.1
8240.0,788.6460674157304
8260.0,787.8595505617977
8280.0,787.0730337078652
8300.0,786.2865168539327
8320.0,785.5
8340.0,784.7134831460673
8360.0,783.9269662921348
8380.0,783.1404494382023
8400.0,782.3539325842696
8420.0,778.5
8440.0,772.6
8460.0,773.3684210526316
8480.0,778.6315789473684
8500.0,770.5
8520.0,736.0
8540.0,727.7
8560.0,722.5
8580.0,705.7
8600.0,700.7
8620.0,709.4
8640.0,746.4
8660.0,763.6
8680.0,757.6
8700.0,733.2
8720.0,734.0
8740.0,724.8
8760.0,708.0
8780.0,707.0
8800.0,706.8
8820.0,704.8
8840.0,703.1
8860.0,701.8
8880.0,712.0
8900.0,735.2831683168317
8920.0,735.6782178217821
8940.0,747.0643564356435
8960.0,758.450495049505
8980.0,769.8366336633663
9000.0,781.2227722772277
9020.0,792.6089108910891
9040.0,803.9950495049504
9060.0,815.3811881188119
9080.0,826.7673267326733
9100.0,837.3118811881188
9120.0,748.3
9140.0,722.7
9160.0,701.6
9180.0,686.2
9200.0,672.4
9220.0,670.7
9240.0,669.6
9260.0,672.1
9280.0,672.6
9300.0,673.0
9320.0,675.4
9340.0,673.5
9360.0,671.1
9380.0,666.5
9400.0,658.4
9420.0,648.3
9440.0,640.4
9460.0,631.1
9480.0,623.4
9500.0,616.0
9520.0,608.1
9540.0,600.9
9560.0,597.8
9580.0,594.7
9600.0,592.4
9620.0,590.1
9640.0,585.9
9660.0,583.4
9680.0,622.45
9700.0,649.75
9720.0,657.7
9740.0,608.9
9760.0,582.6
9780.0,581.3
9800.0,581.1
9820.0,591.0
9840.0,408.75684210526316
9860.0,361.80526315789473
9880.0,402.7526315789474
9900.0,443.7
9920.0,484.64736842105265
9940.0,525.5947368421052
9960.0,566.542105263158
9980.0,607.4894736842105
10000.0,648.4368421052632
10020.0,689.3842105263158
10040.0,675.8905263157894
10060.0,620.2
10080.0,615.9
10100.0,613.3
10120.0,593.8
10140.0,588.6
10160.0,590.4
10180.0,594.8
10200.0,592.9
10220.0,593.7
10240.0,593.9
10260.0,596.6
10280.0,598.7
10300.0,598.9
10320.0,598.8
10340.0,595.9
10360.0,592.9
10380.0,592.0
10400.0,587.7
10420.0,586.1
10440.0,586.5
10460.0,585.4
10480.0,585.3
10500.0,586.4
10520.0,587.6
10540.0,589.7
10560.0,589.4
10580.0,591.8
10600.0,594.1
10620.0,593.6
10640.0,594.1
10660.0,593.5
10680.0,522.2
10700.0,270.0692307692308
10720.0,308.3769230769231
10740.0,346.68461538461537
10760.0,384.9923076923077
10780.0,423.3
10800.0,461.6076923076923
10820.0,499.91538461538465
10840.0,538.223076923077
10860.0,576.5307692307692
10880.0,614.8384615384615
10900.0,653.1461538461539
10920.0,691.4538461538461
10940.0,729.7615384615385
10960.0,713.9
10980.0,702.4
11000.0,698.2
11020.0,698.4
11040.0,688.3
11060.0,678.5
11080.0,675.5
11100.0,679.8
11120.0,680.5
11140.0,682.0
11160.0,685.1
11180.0,692.7
11200.0,699.4
11220.0,704.4
11240.0,709.9
11260.0,714.4
11280.0,721.2
11300.0,726.9
11320.0,732.2
11340.0,755.2
11360.0,755.3
11380.0,749.6
11400.0,752.3
11420.0,749.8
11440.0,747.0
11460.0,745.5
11480.0,744.3
11500.0,742.1
11520.0,744.9
11540.0,738.6
11560.0,736.8
11580.0,734.4
11600.0,730.9
11620.0,730.2
11640.0,727.3
11660.0,726.3
11680.0,726.5
11700.0,725.9
11720.0,717.0
11740.0,693.9
11760.0,684.3
11780.0,674.6
11800.0,669.2
11820.0,665.1
11840.0,663.6
11860.0,660.8
11880.0,660.7
11900.0,661.6
11920.0,659.7
11940.0,659.1
11960.0,659.2
11980.0,655.8
12000.0,657.1
12020.0,658.3
12040.0,657.2
12060.0,656.3
12080.0,654.1
12100.0,652.3
