time_in_ms,pupilSize_clean
0.0,1275.6
20.0,1277.9
40.0,1274.2
60.0,1276.8
80.0,1277.2
100.0,1280.5
120.0,1276.3
140.0,1275.1
160.0,1276.4
180.0,1277.0
200.0,1276.9
220.0,1279.7
240.0,1277.8
260.0,1279.4
280.0,1279.2
300.0,1281.1
320.0,1281.5
340.0,1279.3
360.0,1280.1
380.0,1282.0
400.0,1282.9
420.0,1281.9
440.0,1282.7
460.0,1282.4
480.0,1284.2
500.0,1281.6
520.0,1283.9
540.0,1284.2
560.0,1283.1
580.0,1281.5
600.0,1283.9
620.0,1283.8
640.0,1284.6
660.0,1289.5
680.0,1287.6
700.0,1284.4
720.0,1289.8
740.0,1288.3
760.0,1289.8
780.0,1289.1
800.0,1288.1
820.0,1286.6
840.0,1292.6
860.0,1298.5
880.0,1296.6
900.0,1295.7
920.0,1298.0
940.0,1300.9
960.0,1302.4
980.0,1302.8
1000.0,1301.1
1020.0,1297.1
1040.0,1296.1
1060.0,1292.6
1080.0,1285.4
1100.0,1276.0
1120.0,1265.9
1140.0,1249.6
1160.0,1236.8
1180.0,1219.3
1200.0,1204.1
1220.0,1188.1
1240.0,1173.4
1260.0,1154.9
1280.0,1139.4
1300.0,1128.0
1320.0,1117.1
1340.0,1103.2
1360.0,1092.8
1380.0,1084.9
1400.0,1074.5
1420.0,1065.2
1440.0,1058.2
1460.0,1050.6
1480.0,1049.0
1500.0,1043.4
1520.0,1036.5
1540.0,1034.5
1560.0,1032.0
1580.0,1028.6
1600.0,1025.9
1620.0,1025.7
1640.0,1023.4
1660.0,1022.0
1680.0,1021.7
1700.0,1025.1
1720.0,1025.8
1740.0,1028.4
1760.0,1030.1
1780.0,1036.0
1800.0,1039.8
1820.0,1046.1
1840.0,1053.1
1860.0,991.6
1880.0,657.7314285714285
1900.0,692.4928571428571
1920.0,730.6357142857144
1940.0,768.7785714285715
1960.0,806.9214285714286
1980.0,845.0642857142857
2000.0,883.2071428571429
2020.0,963.8185714285715
2040.0,1123.0
2060.0,1139.6
2080.0,1173.5
2100.0,1157.3
2120.0,1154.2
2140.0,1159.6
2160.0,1166.4
2180.0,1171.7
2200.0,1179.6
2220.0,1184.1
2240.0,1191.2
2260.0,1199.2
2280.0,1210.9
2300.0,1218.3
2320.0,1224.4
2340.0,1233.2
2360.0,1240.6
2380.0,1251.9
2400.0,1258.0
2420.0,1264.3
2440.0,1273.7
2460.0,1278.6
2480.0,1289.2
2500.0,1294.6
2520.0,1305.3
2540.0,1309.2
2560.0,1311.1
2580.0,1314.5
2600.0,1317.6
2620.0,1320.1
2640.0,1325.2
2660.0,1330.2
2680.0,1331.6
2700.0,1334.8
2720.0,1335.7
2740.0,1338.8
2760.0,1337.7
2780.0,1342.8
2800.0,1345.2
2820.0,1347.0
2840.0,1350.7
2860.0,1353.5
2880.0,1356.9
2900.0,1357.3
2920.0,1358.0
2940.0,1359.3
2960.0,1365.5
2980.0,1370.2
3000.0,1376.5
3020.0,1378.5
3040.0,1382.9
3060.0,1388.7
3080.0,1393.7
3100.0,1400.3
3120.0,1402.5
3140.0,1406.2
3160.0,1416.4
3180.0,1422.1
3200.0,1425.6
3220.0,1429.4
3240.0,1433.0
3260.0,1436.4
3280.0,1436.3
3300.0,1437.8
3320.0,1437.3
3340.0,1439.7
3360.0,1436.7
3380.0,1438.9
3400.0,1435.6
3420.0,1455.5
3440.0,1017.1
3460.0,412.60071942446046
3480.0,465.04676258992805
3500.0,517.4928057553957
3520.0,569.9388489208634
3540.0,622.3848920863309
3560.0,674.8309352517986
3580.0,727.2769784172663
3600.0,779.7230215827337
3620.0,832.1690647482015
3640.0,884.6151079136691
3660.0,937.0611510791368
3680.0,989.5071942446044
3700.0,1041.953237410072
3720.0,1094.3992805755395
3740.0,1267.4
3760.0,1423.5
3780.0,1460.0
3800.0,1480.6
3820.0,1468.7
3840.0,1436.7
3860.0,1433.8
3880.0,1433.2
3900.0,1438.7
3920.0,1439.0
3940.0,1443.7
3960.0,1450.1
3980.0,1449.8
4000.0,1455.1
4020.0,1456.1
4040.0,1457.5
4060.0,1450.2
4080.0,1441.0
4100.0,1431.1
4120.0,1417.3
4140.0,1406.6
4160.0,1393.8
4180.0,1383.2
4200.0,1368.3
4220.0,1357.2
4240.0,1348.3
4260.0,1341.3
4280.0,1334.0
4300.0,1325.6
4320.0,1321.3
4340.0,1315.8
4360.0,1310.4
4380.0,1304.7
4400.0,1299.9
4420.0,1297.7
4440.0,1291.5
4460.0,1288.7
4480.0,1283.6
4500.0,1281.9
4520.0,1281.2
4540.0,1278.9
4560.0,1270.5
4580.0,1271.6
4600.0,1272.7
4620.0,1272.3
4640.0,1272.5
4660.0,1276.6
4680.0,1274.3
4700.0,1279.2
4720.0,1283.3
4740.0,1281.1
4760.0,1281.2
4780.0,1283.1
4800.0,1286.4
4820.0,1290.1
4840.0,1292.9
4860.0,1297.2
4880.0,1302.5
4900.0,1304.5
4920.0,1309.9
4940.0,1311.2
4960.0,1318.4
4980.0,1323.6
5000.0,1328.4
5020.0,1330.1
5040.0,1333.3
5060.0,1334.0
5080.0,1335.1
5100.0,1331.4
5120.0,1333.6
5140.0,1335.0
5160.0,1331.9
5180.0,1333.5
5200.0,1331.4
5220.0,1332.8
5240.0,1331.7
5260.0,1334.4
5280.0,1340.6
5300.0,1337.3
5320.0,1336.3
5340.0,1340.3
5360.0,1341.0
5380.0,1342.2
5400.0,1350.1
5420.0,1353.9
5440.0,1358.0
5460.0,1360.3
5480.0,1366.4
5500.0,1370.8
5520.0,1379.6
5540.0,1385.7
5560.0,1389.6
5580.0,1400.9
5600.0,1409.3
5620.0,1415.2
