TR,pupilSize
1,1947.9839861203075
2,1887.1705905344852
3,1916.040766221948
4,2014.080477564703
5,2137.137892502263
6,2231.6312167257424
7,2237.9415987387206
8,2148.287066361825
9,2048.351660477393
10,2002.319619268159
11,1993.1481983272768
12,1956.56628782685
13,1907.3380244856312
14,1945.6145101695677
15,2049.482703829718
16,2090.3608623459972
17,1989.4340109203958
18,1839.3343880656705
19,1785.4285440554029
20,1856.6975962922397
21,1961.0326132003374
22,1987.7756288788978
23,1902.825796605619
24,1824.979858145962
25,1851.6385709433025
26,1956.2779427367716
27,2059.6117237630983
28,2097.066174413987
29,2122.357480562409
30,2219.1130370006435
31,2341.380142895984
32,2415.4490048529233
33,2429.971952963331
34,2416.0606875221347
35,2423.949594057151
36,2499.4651305078023
37,2588.048665566449
38,2513.055056236002
39,2229.6113715537235
40,1916.2127755783265
41,1738.6731454476896
42,1679.0686036602774
43,1656.9857141547816
44,1646.467360528764
45,1625.4281456858355
46,1560.9585460471883
47,1450.149600101228
48,1332.0159020844794
49,1257.2297458031553
50,1247.4910349000054
51,1283.9646337675083
52,1328.2236021626832
53,1364.1465917137145
54,1414.239412855894
55,1462.2833949531291
56,1437.5227955271455
57,1346.9407887726848
58,1296.5634701634185
59,1341.8060232274468
60,1402.2667384098502
61,1385.9828936966003
62,1316.36146155533
63,1241.9071563754799
64,1179.3005371074642
65,1160.1124336766861
66,1252.8401351613747
67,1452.3651628367725
68,1663.8161455070947
69,1810.7975117990356
70,1883.7824095352087
71,1886.239786173987
72,1857.2892911500091
73,1862.3405987828748
74,1905.8233641419786
75,1909.120945665004
76,1821.427075467607
77,1702.3284078185573
78,1630.5892319682896
79,1614.7552593819928
80,1612.550855491213
81,1580.210287994839
82,1490.9629039908996
83,1381.2445417378312
84,1333.5397297282157
85,1375.6011935069141
86,1458.0481914199947
87,1524.5174784619219
88,1531.8139301039434
89,1461.3237390626634
90,1383.897578631356
91,1392.4636887926922
92,1463.3056701245991
93,1503.9258206860986
94,1485.0841763142528
95,1466.6510348524068
96,1486.93115661166
97,1523.7936521047234
98,1548.4281434001089
99,1546.3053809876662
100,1509.9170675563337
101,1466.6010308846403
102,1459.89062874166
103,1505.6018524374438
104,1574.320855642815
105,1625.404313172057
106,1650.114252470317
107,1638.860135637339
108,1583.1201332958337
109,1508.1300456915224
110,1480.88608074163
111,1541.1009997194685
112,1660.1608053447605
113,1805.2922370846488
114,1918.6441537784092
115,1952.4219889427277
116,1965.4900561506802
117,2046.993738762674
118,2178.918906673787
119,2330.4306189417857
120,2482.45409336619
121,2585.80068421428
122,2595.211972055088
123,2555.136771834146
124,2575.5796180104503
125,2676.6049809345805
126,2714.8572603300036
127,2496.8040352421613
128,2031.8579076675544
129,1540.3793197870446
130,1221.726349409064
131,1109.2516494242868
132,1136.165744122039
133,1154.8933583355386
134,1064.9851372947828
135,901.208422998484
136,766.4947663845674
137,728.1393285411563
138,773.5171560336262
139,838.2300978989558
140,888.2098162604727
141,931.7425452515276
142,959.7290296411353
143,938.0881059472204
144,897.984683707183
145,935.1832462177622
146,1066.356036563081
147,1203.3197013622184
148,1247.736751895119
149,1184.794552897806
150,1083.2622422527445
151,1028.8196575934278
152,1080.9532949892457
153,1197.918663942624
154,1285.7054399478336
155,1287.7341618792727
156,1246.2478916055786
157,1244.212661583183
158,1314.6136303453752
159,1392.4445210213098
160,1414.2114010957962
161,1396.9793460190451
162,1397.1185397379043
163,1392.7051121876639
164,1328.329047103604
165,1219.4062328305777
166,1133.3663034717038
167,1107.9033593768613
168,1137.8799859748171
169,1200.7368213685756
170,1243.7765391887353
171,1206.5478225272827
172,1112.0742409863042
173,1069.6189017189522
174,1123.3509819979872
175,1170.2040233697328
176,1132.6127933707432
177,1093.284767319235
178,1166.5182946255843
179,1316.4445474074478
