TR,pupilSize
1,1948.8964252953583
2,1944.909939498135
3,1971.3908451821226
4,1908.2465006836208
5,2160.8209077957245
6,2230.394001548803
7,2059.3067341649985
8,2107.7422716475985
9,2208.6575046905036
10,2274.8586447256816
11,1876.799598996667
12,1969.9096604760282
13,1958.9166600681776
14,2159.095249662927
15,2268.417790397147
16,2284.57708705245
17,2292.749124775059
18,2337.6674342134047
19,2216.2429966299933
20,2061.6216274349063
21,2175.6689192363974
22,2225.084765367809
23,1884.8056412787585
24,1934.1102073886238
25,2036.3973626990075
26,2212.4648220725585
27,2097.787349662908
28,2120.6606316729794
29,2082.9796080624596
30,2082.1985366002646
31,2068.4540289869606
32,2048.6554727839098
33,2213.293773715364
34,2077.506694095975
35,2139.2513177576143
36,1972.5944350330246
37,2091.2289070557727
38,2205.39302011897
39,2102.666554672554
40,2127.4566832947617
41,2111.9716082511245
42,2195.0865673491953
43,2275.2592399878354
44,2273.6078916043994
45,1818.757509583656
46,1869.9756114015522
47,1802.294691410251
48,1547.1995426800809
49,1771.5586797960968
50,1876.5583974660176
51,1970.588504141963
52,1938.533140351692
53,1938.4548436483449
54,1853.2890321279194
55,2174.516178381319
56,2279.375376318209
57,2159.8613327550966
58,2029.8563346582162
59,1976.9238300916695
60,1999.2206245224152
61,1840.9807392613254
62,1792.0118506329432
63,1558.494268269358
64,1827.7964721981282
65,1630.8515314686604
66,2019.2694580684035
67,2154.8661048905997
68,2223.536917781197
69,2133.914476816771
70,2167.036892116514
71,2166.8741457534747
72,2183.2488109623614
73,2085.997351937823
74,2239.765993978348
75,2137.3277658698375
76,2220.623235889812
77,1723.7239022342885
78,1704.0217031885363
79,2002.1908866123144
80,2134.6653368120797
81,2230.2562276215413
82,2300.4348526297863
83,2272.2174202973315
84,2270.178737593187
85,2189.6958091052993
86,1857.1761908535368
87,1898.841567960014
88,2004.9757057437862
89,2253.225435395812
90,2189.322153888125
91,2272.6218598111236
92,2256.080922635144
93,2257.7827984766695
94,2331.742347113918
95,2367.3367258160833
96,1837.1424175182087
97,1664.154923389851
98,1990.1483223360513
99,2206.9527821365687
100,2250.164497162326
101,2223.43880982762
102,2467.26446547916
103,2488.419264162608
104,2471.3836654839915
105,2301.398236027007
106,2364.161055585841
107,2417.856888234137
108,2381.7165994761012
109,2333.323740115635
110,2193.8425679593333
111,1960.8935981105078
112,1953.692587274154
113,1815.7514789533777
114,2091.588397295397
115,2047.635317106
116,2216.174432238355
117,2337.454376666143
118,2327.367405757033
119,2303.976326760155
120,2239.9473601861614
121,2235.646549929589
122,2341.763180987321
123,2153.0377222824436
124,1777.644173727645
125,2128.541276184908
126,2082.0319115394354
127,2304.7891736321553
128,2273.8890853541934
129,2280.923459685267
130,2107.633535633498
131,2234.3375843437125
132,1976.235430070838
133,2042.4712572849794
134,2222.807087929917
135,2250.231564232861
136,1968.2625607509879
137,1882.015969163334
138,2096.6484318678927
139,2279.5238021498476
140,2299.712109361266
141,2251.8628399943964
142,2291.9251031828726
143,2250.5479987188946
144,2199.5547551602112
145,2345.762293110178
146,2275.8646857275717
147,2050.962711720581
148,2161.2656013387364
149,2198.8855027220666
150,2221.8859016791703
151,2214.3055164819207
152,2253.56713989079
153,2095.8211463242965
154,2228.3534592352867
155,1932.6722550887384
156,1981.2845064245423
157,2099.2054547242124
158,2165.6878632118933
159,2017.4107067551754
160,2095.1356342402482
161,2114.02162554486
162,2113.462105217078
163,2261.984134475665
164,2088.670464474266
165,2097.2050607295578
166,1924.8482798894763
167,1999.6312496462674
168,1438.0864092726024
169,1899.8455080711046
170,2186.130227253882
171,2162.9223544835895
172,2209.896514721596
173,2104.886234580735
174,2021.4162839181708
175,2136.42770222388
176,2254.143299230171
177,2382.8793276928195
178,2318.8471162971764
179,1937.631675898585
180,1921.8764800995057
181,1982.9732359728837
182,1992.29932285358
183,2032.2676113202394
184,1823.3688919844271
185,2098.7492485475527
186,2139.991322540225
187,2266.919785873615
188,2252.8556690188393
189,2322.9506628892723
190,2441.5624197224843
191,2346.3040451864313
192,2057.8882519520303
193,2374.7225360312827
194,2333.1534834594218
195,2345.7021503379283
196,2323.834056779011
197,2324.3479983444454
198,2189.3328333417585
199,2358.5261573344874
200,2331.9332947227244
201,1997.9450596526774
202,2212.178987898763
203,1738.6868708735726
204,1997.9981354266567
205,2199.3933230222315
206,2205.281451243899
207,2163.3192491990467
208,2245.4577967822156
209,2404.971143438443
210,2453.362060489402
211,2234.699317424422
212,2220.6937391346005
213,2367.268225776366
214,2365.338086192716
215,2269.0844662796862
216,2249.0678435787027
217,2154.6753990928423
218,2198.876189686622
219,2305.975772445101
220,2352.86150162025
221,2334.3060725318314
222,2356.8669728634886
223,2345.1929878209517
224,2257.433154098184
225,2316.4933396702677
226,2316.6752140639064
227,2234.7928826068064
228,2216.107500588858
229,2321.1470529405515
230,2134.7783489524645
231,2190.431432788821
232,2249.658048890532
233,2376.3902919703037
234,2039.4287868920092
235,1873.4929769125258
236,2154.7336684689844
237,2011.6186077884686
238,2115.8492199238462
239,2239.5861029435637
240,2201.7664082105343
241,2261.9776079042226
242,2121.9190670931803
243,2108.9906511769354
244,2280.4853697209765
245,2334.4741888085596
246,2460.2451923710946
247,2131.952354691486
248,1882.3933019659323
249,2133.45833672418
250,2269.86339393273
251,1952.0585220763255
252,2056.43778296426
253,2025.1160942688875
254,2207.374636536149
255,2202.4841409656196
256,2205.8544796020387
257,1986.0986621009968
258,2073.203613723956
259,2322.9436000312317
260,2319.8454897207007
261,2305.473740734197
262,2256.10689681998
263,2231.16285639177
264,2189.1916928530495
265,2261.4589731275496
266,2213.7132780672296
267,2129.722313200251
268,2158.3403189812857
269,2227.093588608724
270,2175.0976675929137
271,2088.5561655543584
272,2183.3182463427524
273,2224.778328041531
274,2261.5130472055707
275,2399.753839119995
276,2355.7480879610453
277,2406.6633692559476
278,2409.150331610836
279,2069.883109139297
280,2163.1344054622155
281,1888.5559941259633
282,2017.605564122787
283,2045.5639332863097
284,2064.003568277097
285,2195.0812619568915
286,2127.4865593415984
287,2178.0521775057227
288,2254.694960678794
289,2217.826166009307
290,2297.2917467030325
291,2209.8344757674936
292,2026.0976088335387
293,1579.6532423717626
294,1645.0693870968998
295,1994.6841586120697
296,2032.4552760284248
297,2111.906284260649
298,2314.5516122633107
299,2349.1324363516187
300,1843.7569664113828
301,2075.138025417221
302,1597.8557148771604
303,1950.6609088853063
304,2292.9506157885767
305,2237.7583834040197
306,2208.978618702898
307,2361.3601639917983
308,2208.5049643394377
309,1966.5046009707578
310,2194.074417812239
311,2167.580908465008
312,2130.236323377351
313,2302.3246442454797
314,2114.6510452599973
315,2236.645307045612
316,2100.8265509320054
317,2172.5934307143425
318,2188.82545134663
319,2224.8353347336024
320,2232.386849659572
321,2230.406328270484
322,2261.879817250185
323,2235.3168055424776
324,2067.7203368026358
325,2163.0664647202216
326,2198.96068082755
327,2127.0843514324106
328,2183.024455572222
329,2064.1933903768618
330,2224.7665589165567
331,2314.5171968941086
332,2097.16521015967
333,2243.1615436032807
334,2217.306042972846
335,1952.9157529911708
336,1882.0135444931213
337,2213.437957692884
338,2266.3394069001993
339,1735.1998020628334
340,1941.4203929882376
341,1368.1411223821528
342,1851.5342903167332
343,1981.2388007140014
344,2108.132996727737
345,2195.5918356336842
346,2154.356038107407
347,2221.668878775172
348,2159.8889661218864
349,2180.6669855417035
350,2292.670310542196
351,2147.18912258364
352,2134.0992754254335
353,2244.0534188746688
354,2309.6716735681152
355,1581.7681104628832
356,1864.0045357836457
357,2001.0764160151914
358,2110.117177486769
359,2200.3497130469423
360,2255.4615456991423
361,2405.5307439468183
362,2217.7895421071635
363,2249.1730350395824
364,2173.293935435656
365,2329.2708387833186
