subject,group,story,valence,mean_pupil_size,z_pupil,run
1022,1,Pool Party,positive,-0.0713143749372734,-0.0713143749372734,run_1
1022,1,Sea Ice,neutral,-0.6454657786358522,-0.6454657786358522,run_1
1022,1,Natalie Wood,negative,0.3483046601928934,0.3483046601928934,run_1
1035,2,Dont Look,negative,-0.238720072370504,-0.238720072370504,run_1
1035,2,Pool Party,positive,0.2869468546244818,0.2869468546244818,run_1
1035,2,Grandfather Clocks,neutral,0.1210779749417413,0.1210779749417413,run_1
1035,2,Impatient Billionaire,positive,0.0129617605090578,0.0129617605090578,run_2
1035,2,Natalie Wood,negative,-0.014340089807797,-0.014340089807797,run_2
1035,2,Sea Ice,neutral,0.0504879887781554,0.0504879887781554,run_2
1029,2,Dont Look,negative,0.0552473050781406,0.0552473050781406,run_1
1029,2,Pool Party,positive,-0.2674505693212562,-0.2674505693212562,run_1
1029,2,Grandfather Clocks,neutral,0.1128595217277595,0.1128595217277595,run_1
1029,2,Impatient Billionaire,positive,0.4028404698407271,0.4028404698407271,run_2
1029,2,Natalie Wood,negative,-0.1107514621537837,-0.1107514621537837,run_2
1029,2,Sea Ice,neutral,-0.0093936176923366,-0.0093936176923366,run_2
1036,3,Sea Ice,neutral,-0.8223193678099932,-0.8223193678099932,run_1
1036,3,Dont Look,negative,0.2267229801276218,0.2267229801276218,run_1
1036,3,Impatient Billionaire,positive,0.4451625700870391,0.4451625700870391,run_1
1036,3,Natalie Wood,negative,0.2033475319888134,0.2033475319888134,run_2
1036,3,Grandfather Clocks,neutral,-0.1923017197492786,-0.1923017197492786,run_2
1036,3,Pool Party,positive,-0.1863911894299799,-0.1863911894299799,run_2
1032,2,Dont Look,negative,-0.0279943446222554,-0.0279943446222554,run_1
1032,2,Pool Party,positive,-0.3009708284454984,-0.3009708284454984,run_1
1032,2,Grandfather Clocks,neutral,0.2445548643663918,0.2445548643663918,run_1
1032,2,Impatient Billionaire,positive,0.147670639702507,0.147670639702507,run_2
1032,2,Natalie Wood,negative,-0.248274359252085,-0.248274359252085,run_2
1032,2,Sea Ice,neutral,0.3844312035229909,0.3844312035229909,run_2
1026,2,Dont Look,negative,-0.5732692144126068,-0.5732692144126068,run_1
1026,2,Pool Party,positive,0.4976002925618831,0.4976002925618831,run_1
1026,2,Grandfather Clocks,neutral,0.4093438306500707,0.4093438306500707,run_1
1026,2,Impatient Billionaire,positive,-0.0601371363992301,-0.0601371363992301,run_2
1026,2,Natalie Wood,negative,-0.1064443633031673,-0.1064443633031673,run_2
1026,2,Sea Ice,neutral,0.3050192668457236,0.3050192668457236,run_2
1023,2,Dont Look,negative,0.2056534875105487,0.2056534875105487,run_1
1023,2,Pool Party,positive,-0.057971018858985,-0.057971018858985,run_1
1023,2,Grandfather Clocks,neutral,-0.2360547846276451,-0.2360547846276451,run_1
1023,2,Impatient Billionaire,positive,-0.0440610832541852,-0.0440610832541852,run_2
1023,2,Natalie Wood,negative,-0.0485469664615575,-0.0485469664615575,run_2
1023,2,Sea Ice,neutral,0.1758871522575861,0.1758871522575861,run_2
1034,1,Pool Party,positive,0.1741937168841579,0.1741937168841579,run_1
1034,1,Sea Ice,neutral,-0.918841057110567,-0.918841057110567,run_1
1034,1,Natalie Wood,negative,0.3327992166670324,0.3327992166670324,run_1
1034,1,Grandfather Clocks,neutral,-0.2781403639498416,-0.2781403639498416,run_2
1034,1,Impatient Billionaire,positive,-0.315638698798886,-0.315638698798886,run_2
1034,1,Dont Look,negative,0.3008732455604416,0.3008732455604416,run_2
1027,3,Sea Ice,neutral,-0.6448151427071731,-0.6448151427071731,run_1
1027,3,Dont Look,negative,-0.0706554243744765,-0.0706554243744765,run_1
1027,3,Impatient Billionaire,positive,0.8438571748451371,0.8438571748451371,run_1
1027,3,Natalie Wood,negative,-0.063392109419379,-0.063392109419379,run_2
1027,3,Grandfather Clocks,neutral,0.2966701256026424,0.2966701256026424,run_2
1027,3,Pool Party,positive,-0.2777518135680621,-0.2777518135680621,run_2
1038,2,Dont Look,negative,-0.2083345701575706,-0.2083345701575706,run_1
1038,2,Pool Party,positive,0.5373561320747938,0.5373561320747938,run_1
1038,2,Grandfather Clocks,neutral,-0.1282099502050872,-0.1282099502050872,run_1
1038,2,Impatient Billionaire,positive,-0.4374935662930935,-0.4374935662930935,run_2
1038,2,Natalie Wood,negative,-0.1562970149525506,-0.1562970149525506,run_2
1038,2,Sea Ice,neutral,0.6852309757960344,0.6852309757960344,run_2
1024,3,Sea Ice,neutral,-0.1040661685124137,-0.1040661685124137,run_1
1024,3,Dont Look,negative,-0.0170144354674568,-0.0170144354674568,run_1
1024,3,Impatient Billionaire,positive,0.1349288612063767,0.1349288612063767,run_1
1024,3,Natalie Wood,negative,0.5076904666726625,0.5076904666726625,run_2
1024,3,Grandfather Clocks,neutral,-0.2388790033344067,-0.2388790033344067,run_2
1024,3,Pool Party,positive,-0.7777743072439504,-0.7777743072439504,run_2
1020,2,Dont Look,negative,0.762851809882836,0.762851809882836,run_1
1020,2,Pool Party,positive,-0.1946714117494911,-0.1946714117494911,run_1
1020,2,Grandfather Clocks,neutral,-0.8729967087861212,-0.8729967087861212,run_1
1020,2,Impatient Billionaire,positive,0.6881996731208433,0.6881996731208433,run_2
1020,2,Natalie Wood,negative,-0.1496788933881795,-0.1496788933881795,run_2
1020,2,Sea Ice,neutral,-0.3448438716312749,-0.3448438716312749,run_2
1007,1,Pool Party,positive,0.529097441991845,0.529097441991845,run_1
1007,1,Sea Ice,neutral,0.146457417159068,0.146457417159068,run_1
1007,1,Natalie Wood,negative,-0.304512167820873,-0.304512167820873,run_1
1007,1,Grandfather Clocks,neutral,-0.2558818590583301,-0.2558818590583301,run_2
1007,1,Impatient Billionaire,positive,-0.1234853954693547,-0.1234853954693547,run_2
