sub1,sub2,sub3,sub4,sub5,sub6,sub7,sub9,sub11,sub12,sub13,sub14,sub15,sub16,sub17,sub18,sub19,sub20,sub21,sub22,sub23,sub24,sub25,sub26,sub27,sub28,sub29,sub30,sub31,sub32,sub33,sub35,sub36,sub37,sub38,sub39,sub40,sub41,sub42,sub43,sub44,sub45
,And then the next story I think was about a Hollywood actress called Natalie.,the fourth one picks up with Natalie Woods. She's like a Celebrity in Hollywood.,And then the third story was about Natalie Woods and she was this Hollywood star ,And then the next story is about the life of Natalie Wood. And it starts by describing with music from West Side Story and describes Natalie's like main role in West Side Story and then it and then it says but you wouldn't realize you know the kind of life that Natalie lived behind closed doors,"now on to the four story, which was about Maggie Woods or Something like that",The third one followed an actress named Natalie Wood,So for the fourth short story they were talking about Natalie Wood I think. And she's an actress that a lot of kids looked up to. But she has a pretty dark backstory. ,,There was one about Natasha. ,and then the next story I was talking about Natalie Wood and how like basically all the traumas that she experienced throughout life um during her time as like or like leading up to her and then during her time as a like movie star ,,the fourth story was about Natalie Wood who was a very famous actress who starred in was it west side story or this very romantic story and she was a very big hit back in the day but this story was genuinely going very deep about her the the the truth behind her glamour isn't very successful life ,"The
second story is about a tragic story of a Hollywood starlight in the, I think, 1930s from named
Transcript: [103.643 --> 130.475] Natalie Wood ",and then the fifth story is about like a Hollywood actress I think called Natalie but like I didn't remember like her full name so it was like about like her real life like how her real life was like was a dark world compared to her like glowing and gleaming like character in the Hollywood ,The third story is about Natalie Woods and it basically talked about the history of Natalie Woods and how she died. ,"The third story was about Natalie Wood. I remember this one. I thought it was a pretty odd story. I don't know that much about Natalie Wood, but basically she was in West Side Story and she like captured the country's heart, but actually she had a really hard life. ",," I remember there is Natalie Wood and she's
like a big movie star I guess, very famous. And she was sheltered like her whole life because first her
family wanted to exploit her",,"Okay. See, I don't remember, I don't remember the order. Uh... I'll go into the Natalie Wood story, but I just don't think that's the next one. Oh no. Okay, well, I'll tell the Natalie Wood story, because I think I remember that. Okay, so there's this actress Natalie Wood who is in West Side Story and like they open the story with this like line like about romance or something and she starred in West Side Story I don't think it was with Robert Wagner, but they might have said Robert Wagner. That was like her later husband. Anyways, so she was in West Side Story and she was a famous actress. ","I don't remember which one was second, but I do remember the one
about this actress and her last name was Wood and she had a really- that one was before the penultimate one. Is it okay if I don't- I don't remember which one was second. It was the penultimate one and basically","The third story was about Natalie, what was I believe her name? A young or a person, a woman who was an actress and she was put into child acting from a very young age by parents that kind of saw her as more of a commodity in a way for them to make money than to like as a child. ","The fifth story is about a woman named Natalie, I think, who is a really famous actress. They start by talking about how she's won a ton of awards and this one performance that she did, which I forget what it was, but it was like super famous and everyone liked it. So that's why everyone knows her. And then so after introducing this person and why they're notable, ","The fourth story was titled Natalie Woods and it follows the tragic life of the actress Hollywood starlet Natalie Woods. So she was born to Nikolai and Moria, her parents, and Unlike the shining, dazzling life that Natalie Woods was kind of known to have as a very iconic actress, she actually had a very tragic life.","Third story is about Natalie Wood's life about how her parents or she was very famous for her role in West Side Story, but she lived a more tragic life. ",It was about Natalie Wood She's like mainly known for her roles in West Side Story and Rubble Without a Cause I think but mainly West Side Story.,Natalie Wood was an actress and I've seen her movies. I know who she is one. I know I want her for movies. So this was interesting to me. I didn't know any of this. I knew my grandma told me about this. So I knew a little background maybe of her drawing.,The third short story had to do with a young actress who had Russian immigrant parents who had a dream for her to be a star in Hollywood and they believed that she was their golden ticket to life in general.,"the one about Natalie Wood was looking more interesting, because she was like a famous, a celebrity. She was big in Hollywood. She was working a lot when she was a kid, but she was lucky. ","It was talking about Natalie, like she's an actress and who famously paid in West Side Story and in other stories. looks like it's a glamorous, glamorous life, actually was a kind of sad and dreadful story. ","the life story of Natalie Wood that was the protagonist of Wysat's story. The narrator was really trying to get to the point that her life wasn't all that glorious like it was. It wasn't just a love story that is being told in musicals today, but actually it was very dark.",it was Natalie Woods story and how she didn't have the best life. And I think she was in West Side Story,I think it was about an actress named Natalie Wood who I think she's famous for being in West Side Story but she had a very troubled childhood. ,"The story before that, when I thought it was really interesting, it was like a murder mystery about a woman or like a superstar and she was basically exploited through her whole life. ",So the Natalie Wood story was basically about this actress Natalie Wood and her upbringing. Basically it was like a little mini-auto biography honestly.,"It was a story about the upbringing of a young actress by the name Natalie Wood. She had a very glamorous career in the Hollywood scene, but she had a very uh flawed or not flawed like very dark back story.",The next story was about the actress Natalie Wood. She was like most famous for her role in West Side Story,there's another story about a girl named Natalie when Natalia and she's like this very famous actress but she had been exploited all her life,"The third story was about Natalie Wood. It started with the narrator introducing West Side Story which is probably her most iconic movie and like some of the lyrics from it and you know it's this lovely romantic movie and Natalie Wood was such a beloved actress. But the whole thing is just about how she had a very difficult life.
I think the main thing is just she was hugely successful for a very long time and so many iconic movies the narrator talked about West Side Story at the beginning","for the fifth story, I remember the, so I think it was like Twilight Zone, but it was recounting like a horror, like a horror, like kind of like a sad, horrific story about a woman named, I think, Natalie Wood and basically throughout her life.",the next story was about the actress Matt
,"Natalie, her parents were Russian immigrants and their dream was to kind of get rich through her because she was very talented",,and the story was just talking about like her entire life starting from like her parents immigrating to America. I think that her parents were from Russia ,and essentially she was raised by Russian immigrants and her mom was called Maria and she had a sister called Lana and um,her parents whose names was Nikola and Melissa they're Russian immigrants and this is the only way that they think they will become rich,She had two Russian parents. Her Russian parents were searching for the American dream. They found that she would be their ticket to the American dream. So they started manipulating her from a very young age.,Her parents are immigrants from Russia. ,"Another one of the stories was about Natalia and her Russian parents, Russian immigrant parents that immigrated to and I'm not sure if they immigrated but they were chasing the American dream I believe and Natalia was the golden child.","Natasha started talking about her parents. She had two Russian Soviet parents who moved over to the United States in the search for the American dream. But they quickly realized that their path to the American dream would come through their daughter Natasha. Natasha was very talented and they realized that and they realized that she was going to be the one that was going to, you know, help them achieve that American dream. ",,,and it all started off with saying how her parents Nikolai and Maria were Russian immigrants who was trying to make the best who wanted to succeed in America and their golden ticket to doing that was their daughter Natasha,and she was the child of Russian immigrants and she was a child star and her parents put a bunch of pressure on her in order to use her to as an avenue of success and making money.,"And the character I mean like Natalie was the daughter of a I think Russian immigrants, and the parents took her as their ticket to this elusive American dream. like her whole life not not her whole life but like manipulated her like since she was really young like took her as the the golden the golden goose like who could like bring like money to the family and she like took everything like she controlled everything of her daughter","At the beginning, their immigrant family, her dad is, they tried to, her parents tried to craft this really good, like American dream as she was part of it.","So she was born into a family of Russian immigrants and they tried to use her and her sisters to like succeed in life, especially her mom. And ever since Natalie was born her mom was trying to make something out of her and kind of get the American dream",,,,"Her parents' names were Maria and Nicolai and they were from Russia. They were trying to live the American dream, but unfortunately, their only ticket. So she was their ticket to the American dream because of her acting talents.","She was a child actress and her parents were Russian immigrants who
didn't really treat her well. ","The third story was about Natalie, what was I believe her name? A young or a person, a woman who was an actress and she was put into child acting from a very young age by parents that kind of saw her as more of a commodity in a way for them to make money than to like as a child. ","And then so after introducing this person and why they're notable, we sort of go back in time to their like childhood and the parents are Russian immigrants who were trying to pursue the American dream and one Avenue that of two towards that that they had was Essentially their
child being very talented, which is the child is the Natalie person that we talk about later and So yeah, they essentially are not great parents and kind of exploit her for her talents","So she was born to Nikolai and Moria, her parents, and Unlike the shining, dazzling life that Natalie Woods was kind of known to have as a very iconic actress, she actually had a very tragic life. The person who describes this as it was more like a less of like a fairy tale ending and more like a tragic backstory her life and this was because of like the way her life was controlled and it started off in childhood from her parents because her dad was a alcoholic and her mom was very controlling a helicopter parent They came to America hoping to achieve that American dream. But it didn't just happen and all their hopes were really on their one daughter, Natalie Woods. ",Her parents emigrated from Russia and um live or wanted to live out the American dream her father was a drunkard her mother was um like a soviet drill sergeant i believe was the words used. ,and it talks about how her parents Maria and Nikolai were like Russian immigrants to the US and they kind of used like their daughters but mainly like Natalie as like a cash cow basically they like used her talents and like made her work and like into acting um and,"Anyway, basically they talk about Natalie Wood's history, that she was born in the 1930s, and that her mom was named Maria, and she was horrible to her. ",The third short story had to do with a young actress who had Russian immigrant parents who had a dream for her to be a star in Hollywood and they believed that she was their golden ticket to life in general.,"Her family life was crazy because I was thinking about the pressure from her mom and dad. Her mom, Maria, was really overbearing. She was a helicopter parent. And she was always trying to manipulate her lifestyle and just make sure that it was actually going her way instead of what had of these best interests in mind and that was like super cooked and then her dad was like an alcoholic and he was like you know like never really present just kind of like you know being being rude and everything um","Basically, she grew up, her family was really poor, and Maria, her mom was like, I'm gonna exploit this. ",It was full of exploitation. In the Hollywood industry Natalie was born to a Russian immigrant family and because that family was always designed for something more since now they're in America they wanted the American dream her parents were very manipulative especially her mom Maria that kind of forced her into being a child star and then later on putting her in a lot of very abusing positions,so when she was younger they said that both of her parents wanted like a star so when she was younger that was like really career focused ,I think it was about an actress named Natalie Wood who I think she's famous for being in West Side Story but she had a very troubled childhood. ,And first by her mother and she was first four years old when they got her into acting and stuff. And they basically saw her as a way for them to make a living.,"basically it opens and it talked about how her parents were immigrants from Russia and her mother Maria and then her dad Nicola. Yeah, so basically they saw, I remember like word for word, they basically said that her parents saw Natalie as their ticket to getting the elusive American dream. I'm sincere, like immigrant. She was born in like San Francisco. Oh, and they also talked about how they had this metaphor where they said that, oh, stars are basically like sewn into the quilt. that she was raised with. But essentially, so her parents wanted, they saw her as like a ticket to fame, so they kind of exploited her. ",she had a very uh flawed or not flawed like very dark back story because her mother was like kind of like see her her parents were russian immigrants um into it's in us,,,"But the whole thing is just about how she had a very difficult life. In fact. And from the first she was born, she was born to these poor Russian immigrants. ",Like basically throughout her life. She was taken advantage of and like used by her parents or any other people that She may have been seeing or set up by her parents,the next story was about the actress Matt and talked about how right when she was born her parents knew she was gonna be like their golden ticket a star in Hollywood or whatever they knew she was going to be a star. and by the age of four I believe well her mom was named Maria and she was like from Russia and she rolled over the household super strictly and her dad like already had a drinking problem
,So she started acting at a young age but there are a lot of issues within her family,She has a really crazy mom named Maria and it's basically just about her family and how they're like kind of all over the place like a mess like her mom is like a narcissist she's crazy she's very controlling. But I think they're like reality TV stars. Her mom is very controlling of her life and only really cares about what is successful for their careers.,,,and it starts out as a four-year-old girl who her parents whose names was Nikola and Melissa are exploiting their daughter and they're exploiting her daughter by just her being on shows and on TV and being in movies and just playing this role to make them rich. and Nikola who is her dad is a drunk and he just kind of drinks all the time and,"They got her into sort of child acting classes and stuff like that when she was four and had her on some very difficult schedule, difficult regimen, wasn't specified exactly what it was. She was, I think, a famous child actor, or at least semi-successful child actor, and people liked her.",And her dad is an alcoholic. He starts becoming worse and worse over time and her mom is very controlling and makes sure that she becomes an actress and does whatever she can to make sure that she becomes an actress. So she's basically taken advantage of from a young age by both her mom as well as directors.,"and she was acting and they put her in some sort of performing arts, some sort of acting and she was really good at it but it felt as though she was always being over exploited by her parents.","So they gave little details about the parents. The dad was a drunk, he was an alcoholic and the mom was a very strict Soviet era type woman who like had Natasha and her sister on very strict schedules and she wanted to make sure that their talents, they were successful in their their talents we find out that Natasha like from a very young age she was put into like movies and or like produce she was she was producing some sort of entertainment I'm not sure if those movies or shows what exactly I'm pretty sure those movies though",,,"and they basically from the age of when she was five Maria being like the very tiger mom strict Soviet like drill sergeant that the as the recording talk described her basically like curated manipulated and groomed her to become the the the, I guess the star that Maria wanted her to be and Nikolai became the family the family drunk in the end. But essentially by the age of five Natalie was like on stage doing all these acting roles and her career started off as a very young very very young age",So she was very successful in the film industry but she had a very toxic relationship with her parents and she was constantly taken advantage of from the film industry. ,So like Natalie like Natalie was like everything was controlled by her mother and she was like manipulated and how like exploited and had like really big pressures,"Her dad kind of was like a small alcoholic at the beginning, but her mom is a really, really big control freak, like a very master manipulator. And that everything that like Natalie's doing, her mom would be planning it very meticulously, like very carefully, to sort of like, like also very controlling as well.","They tried to use her and her sisters to like succeed in life, especially her mom. Her dad was kind of a drunk. But her mom had her and her sisters on a strict schedule. She controlled all of their time. And her mother's name was Maria",,"Her mother ran a very militant household. I think she also, Natalie also had a
sister. Her mother ran a very militant household to keep them in control
Transcript: [377.592 --> 400.475] and basically used Natalie as a means to an end meaning that she had
the perfect doe-eyed look I guess to be chosen for a lot of movie roles and her mother put her in the
position to do that so she was kind of controlled from a young age. and her father was also a drunk as well. ",,"Oh, and she also had a sister. I think her name was Dana, but that could be wrong. So as a child, she did a lot of acting. And she was always portrayed as this ray of sunshine. But in reality, her life is pretty sad. like her mother was very strict she ran a tight ship and her dad Nikolai was an alcoholic","She was a child actress and her parents were Russian immigrants who
didn't really treat her well. Her dad was like an alcoholic and drank a lot and her mom really forced her to. They said specifically like she was more of like a Soviet Union agent than like a nice person. And so she started her career very early ",The father was an alcoholic I believe and the mother was very kind of eccentric and strict with her children and at an early stage of her life,"and So yeah, they essentially are not great parents and kind of exploit her for her talents like at the age of four I think they start putting her into like just acting type of roles or just things like that. And she's so she brings in money to the family. And meanwhile, the dad starts developing alcohol addiction. And the mother's also not very supportive. She's kind of crazy, I would say, and very strict. 
and then there's she also has a sister I think but the sister isn't really that relevant but","She started out at the age of four taking on roles. And because of how talented she was, she became famous. And while her dad was an alcoholic throughout her childhood, her mom took really great control of all of her actions",and so um from the age of four she was put in front of the camera.,The narrator mentions that her dad started drinking and became the family alcoholic while her mother was more like a Russian drill sergeant and kept all of the daughters in line.,"She also had a sister named Lana, and they talked about how Maria and her were really mean to her, and her father was an alcoholic. And when she was younger, I think her parents were like Russian immigrants. ",the young actress had an alcoholic of a father and a very navy-like strict military-like mother called Maria and essentially she didn't have the best of childhoods due to the fact that her father had a very bad habit of drinking. and her mother would really squander her day and her little sister's day in a fully packed schedule that's very strict with no room for freedom or to act as a kid in general and they would always push her to especially her mother Maria they would push her to pursue acting roles since a very young age,,"But Natalie had started off with Natalie when she was really, really young. And she had a mom named Maria and she had a father who was drunk. And basically this story is like a recount of Natalie's life. Basically, she grew up, her family was really poor, and Maria, her mom was like, I'm gonna exploit this. So Natalie, or her father, Natalie's father was drunk, and so they're also just naturally poor in that aspect too. And so yeah, the story goes on to Natalie like hitting a role in like when she was like three or something. And when Maria saw that her daughter Natalie could make this money, this much money, Maria decided to take advantage of it and started exploiting Natalie in so many ways. And she kept putting her in all these different roles.
Story goes on with Maria being a Soviet mom and training Natalie.",It was full of exploitation. In the Hollywood industry Natalie was born to a Russian immigrant family and because that family was always designed for something more since now they're in America they wanted the American dream her parents were very manipulative especially her mom Maria that kind of forced her into being a child star and then later on putting her in a lot of very abusing positions,so when she was younger they said that both of her parents wanted like a star so when she was younger that was like really career focused and they said that her mom was very like strict strict and I would say oppressive. And the dad had a drinking problem. ,I think it was about an actress named Natalie Wood who I think she's famous for being in West Side Story but she had a very troubled childhood. Her dad was a drunk and then her mother whose name was Maria just was very controlling over the daughter over Natalie's career and everything.,And first by her mother and she was first four years old when they got her into acting and stuff. And they basically saw her as a way for them to make a living. And then so her mom was just like really managing the house and she had two girls She was like managing the house really strictly like like they were like in the army or something and her dad was just kind of an alcoholic until he wasn't really around.,"They put her into acting at four, which is really young. And around this time, her dad started becoming an alcoholic. And her mom was really strict, like super, super strict, like I remember they said that she wasn't like a supportive cheerleader, but more so like a drill sergeant. so I guess she had Maria, not Maria, I guess Maria the mom had Natalie and then her sister on like a super super tight schedule um all the time they didn't really have time for fun",she had a very uh flawed or not flawed like very dark back story because her mother was like kind of like see her her parents were russian immigrants um into it's in us and her her dad was like a heavy drinker her mom was like uh just very strict and she had a very tight schedule and she kind of had to do whatever was told of her to do and that I mean led her to have a very successful career,,"there's another story about a girl named Natalie when Natalia and she's like this very famous actress but she had been exploited all her life so I guess as a kid she also had a sister but as a kid her parents were very controlling. At least her mom was. But the dad had a drinking problem.

Eventually Natalie rose to fame she Had a lot of bookings of the child and like that helped Bring in money for their family and so the mom really wanted to Keep this source of money money and continue to have this source of money and so that means Natalia Natalie was always in the spotlight and eventually she started to kind of see how in every aspect of her life she's taken advantage of and that includes directors who tried to manipulate her in order to get a certain way of acting from her and her mom and dad would also manipulate her at home ","Her father was an alcoholic and her mother was very determined to have her be like a star. And so from the time she was about four, they realized that she was very charming and talented. So they started trying to get her into the show business. And she started very, very early because she was acting both as a very young child, but made it big as a teenager.",Like basically throughout her life. She was taken advantage of and like used by her parents or any other people that She may have been seeing or set up by her parents,"and by the age of four I believe well her mom was named Maria and she was like from Russia and she rolled over the household super strictly and her dad like already had a drinking problem. And by the age of four, I think she was already in front of cameras. I said something about her looking super innocent, and she was super good at it already."
,Her mom was really controlling and also when she went to this fortune teller who told her that Natalie was going to die by drowning so she became very paranoid and Natalie became very paranoid about water and had this fear for water throughout her life.,and when she's younger her mom Maria gets like this like gypsy reading I guess that like says that like her oldest daughter or one of her daughters is gonna like die in like a mass dark body of water or something like that. And so they take precautions throughout her entire life to keep her away from water.,"And when she was young, there was a Gypsy prophecy that said one of her children will die in dark waters. And that's why when they were growing up, Natalie had a big fear of water because of that prophecy. and then when she was getting older she started becoming more and more famous so like everyone in America knew her ","and when they were young Maria went to this gypsy fortune teller and she said that one of her daughters would die in a large dark body of water so ever since Maria kept the girls away especially Natalie away from water and and was incredibly stressed in their upbringing. and then Natalie, she, what next, she like, she the whole point was that her like presence on stage and like in the theater or in movies was so free and different to her upbringing","It says that she was scared of pools and I want to say something happened about like with her sister, but I don't recall that specifically a part of the story So that's why she was scared of water and pools per se and then it proceeds into the future. The story keeps getting told about how our parents are exploiting her",Oh and then also there was this oracle that her mom told her about some gypsy prophecy that she would die in the water. So she was afraid of water her whole life. ,"and oh sorry before this when she was younger there was her mom went to like a fortune teller and they predicted that one of her children would die or drown. And her mom assumed that it would be her or yeah, one of her children",,,and how like initially her like mom was a like went to a gypsy of some sort and basically was like one of your children are gonna die um like in the dark sea or something to that effect and basically like instilled this really really deep fear of like the ocean,,"oh and then before like very long ago i forgot to mention this um her mom maria got a prophecy saying that her um her daughter like natalie would uh die uh by water, aka like drowning. And so Natalie had always had like this fear of water this her entire life and wanted to avoid it as much as possible. ",,"And then when Natalie was young, Natalie and her mother had some prophecies from a gypsy prophet. So Natalie would die in dark, deep water. So in her whole life, Natalie tried to avoid those waters. And they also, I think, they moved their house. And Natalie was even afraid of the pools when she had her house laid down.","And basically, the story is that her mother went to a gypsy to ask about the future of Natalie Woods or maybe her family. And one of the key things that the gypsy said was that Natalie would drown in the open ocean. No, but like would die in the open ocean, I think, in the future. So that's why Maria, who is Natalie's mom, would be very frightened during her early childhood to not let her into the ocean and she kind of adopted this really petrified view of the water and even when Natalie Wood grew up in the future she would not go like she would be scared of her own pool of her house but basically Natalie Wood was crafted by her mother to be this very loving childhood TV star by Hollywood.","So this led to her being really hard on Natalie and actually she went to a gypsy to have her daughter's fortune told and the gypsy said that her daughter would die by water. So that led to her passing on kind of this fear of water to Natalie, which she held for her entire life. ",,"and also controlled by her mother's
Transcript: [401.977 --> 419.51] I guess her prediction that Natalie would die in a large body of water. So
she avoided any pools, even the pools she had at her home when she became a big, big movie star. She
avoided any large bodies of water her whole life because of this. She believed she was cursed.",,"Her mother had been told by a gypsy, and one day her mother had been told that by a psychic that or something that like one day one of their daughters would drown yeah so they're very afraid of the water and I think. They live near the water or eventually she had like a nice lake or pool near her house and she couldn't, she didn't go in it because she was very, because she was very afraid of the water.",and oh her mom kept telling her like gypsy stories about her gonna be drowned in the future or like that's how she's gonna die and so she was always kind of scared of water and,the mother got like a fortune that her daughter would drown so Natalie always had a fear of wate,"And then one day the mom hears from some like fortune telling type of person that one of their children I think will die in like a water related accident and that really spooks the mom and it trickles down towards the kids there there's the main character Natalie and then there's she also has a sister I think but the sister isn't really that relevant but Basically one of the two kids is like foretold to die in a water related accident, I think. So yeah, so that's the childhood upbringing. ","and it even became more serious because Egyptian had told her mom that Natalie Woods would die a very watery death. So the guy who talks about this says her house became something more like final destination and she was a paranoid of everything that was related to water.Ironically eventually even her Hollywood home had a pool, but she that wasn't something that she enjoyed. ","And there was a quote, gypsy prophet or gypsy psychic, something like that, that said that one of her, or sorry, the mother Maria that went to a psychic and the psychic told
Maria, the mother that one of her children is going to die by drowning or something or like on the ocean or water. And it was gonna be Natalie. And so Maria never let anybody get near the water and kind of had everybody in like a very strict
schedule. And then so once Maria, sorry, once Natalie started getting much more popular, she was very vocal about her fear of the water.","I think the mother consults a gypsy woman and it's mentioned to the mother that one of the daughters would die in murky waters due to drowning. And so the mother basically like instilled like a fear in all of the daughters and kind of turned their house into like, I believe the narrator put it as like a final destination
thing. But and that kind of like put a fear of water slash drowning into Natalie and she tried to avoid all forms of water and she didn't even touch her pool at her Hollywood home. ","And Maria basically took her ones to like a gypsy and they said that she would drown. And she was right. And then basically Natalie was just afraid of the water everywhere. So even though she was glamorous and everything later on, the pool would just scare her because her mom, Maria, like scared her to death, like always be getting away from the water.",And then one day a Russian gypsy had the prophecy that the young actress would eventually die due to drowning related reasons and so that had a huge effect on her lifestyle and her mother always made sure and the young actress always made sure that she stayed away from water and swimming in general.,,,"And she used scare tactics to keep her children in line. And one of the particular, I guess, scare that she told her, that she told Natalie was that out of fortune telling or gypsy reading, that how Natalie was going to die was in the waters. So Natalie has always feared water very much.","Oh well, I forgot to mention the prophecy that was given to Natalie's mom about how one of her daughters would die like in water which like created a big fear of water in Natalie ","And when she was young, the mother went to a gypsy and the gypsy told her that Natalie was gonna die in some form of water, like a pool, any type of water. So Natalie always like steered away from any bodies of water because she was scared it was gonna kill her. And then her mother like exploited her all throughout her childhood to be an actress.","I think she went to like a psychic to get her reading But basically she was gonna die in like open dark water, I guess is what she said.","And so yeah, and then I don't remember at what age, but basically at one point Maria's mom, and I'm Maria's mom, Maria the mom, talked to Egypsy who told her that one of her children would die in dark water and so because of this prophecy she became like really strict and instilled in them like a fear of water so for example Natalie was really scared to go to the pool of their house and things like that because obviously they don't want to die and the prophecy was saying that one of them was going to drown to death","because the mom was like approached by a gypsy and told that her daughter would die from water, so she was afraid of water, not only was afraid of water her whole life, and she wouldn't even go into her pool when she was rich",I think her mother had like a gypsy like prophecy that like if she ever got near water like it would be like very dangerous and life threatening for her so she always had a fear of water.,and one day the mom takes them to the prophecy and the prophecy talks about how one of them is gonna drown and that's how they die. And so ever since then in the childhood they always avoided water and Natalie had this fear of water. Because the prophecy said that's how she was gonna die was drowning,"Her mother once received like a prophecy curse thing
about how Natalie would die in open waters and because of that she became extremely overprotective.
Their house was super like well regulated and everything was shut down and she was trying to do everything she could to protect Natalie who was like the star and the moneymaker of the family. and she was terrified of this prophecy she heard coming true. I think the narrator called it like a final destination home. So she was super under lock and key, her mother was always very anxious, and Natalie carried this anxiety and this fear of water until she was much, much older to the point where when she had her beautiful mansion, with like a lovely pool, she would always stay away from it because she was also terrified because her mother impressed this on her.
And she started very, very early because she was acting both as a very young child, but made it big as a teenager. but her and her sister had a very difficult upbringing because not only was their father drinking and the system got even worse and worse.

Her career started taking off though and she played a lot of like ingenue roles because she was very um pretty and wide-eyed and she was just very dazzling to audiences in this very like naive and innocent role but then when she was a little bit older maybe like 15 or 16.",there's this gypsy woman that told her mom that she would basically die due to the water or the ocean or something like that. And so the mother was very crazy and controlling and tried to basically control her and her siblings' lives.,But her mom went to some gypsy and got some fortune that her daughter is going to drown in water eventually so that made like her childhood super strict like she wasn't she was always afraid of water she wasn't allowed to go near water 
,,,and then she landed this role called for a show called Rebel Without a Cause and then the way she got it was that she had to like sleep with the director and that was kind of like the start of all the bad things that started happening to her,,,"and then she got a role doing Rebel Without a Cause. But she had to have sex with the director to get the role, I think. ",,,,"And that wasn't until I think it was like Rebel for a Cause or something. I think that's the name of it. Where she kind of took on this more like deep, dark kind of character of Rebel. ",,"and it was very successful because she was portrayed as this very like innocent youthful like very pretty like untouchable like angel on screen and that caught a lot of attention and people wanted to a lot of girls admired her and basically wanted to be her. And as she grew up, she became very successful, was always on runways, on acting platforms, and she also",,,But then afterwards she I think I think it kind of became a bit defiant oh yeah she be she came quite defiant in some of her TV shows in Hollywood,"So as Natalie got older, she got more involved in show business in Hollywood. So she was involved in Rebel Without a Cause.",,"And as Natalie grew up, she
kind of switched her image from the cute doe-eyed girl to the bad girl, the teenage girl and that kind of
shined through in one of her movie roles.",,"Um, and then eventually she like is in a, another moot. She's in a movie called, um, I don't remember the name of the movie, but they want her to have this like bad girl image in the movie and they like pressure her to do bad girl things. and at some point like during the story they say like everyone wanted to like people didn't just like admire her and look up to her or think she was like beautiful or whatever they wanted to be her like they didn't even talk about her hair I don't remember when they said that but I just recalled them saying that. And she's in like more movies. I think one with like James Dean. That sounds correct.", And so she started her career very early and then as she grew older she was more of like a rebellious teenager both in Hollywood and like the screen,And her life was just kind of tumultuous. A lot of people took advantage of her.,"The fifth story is about a woman named Natalie, I think, who is a really famous actress. They start by talking about how she's won a ton of awards and this one performance that she did, which I forget what it was, but it was like super famous and everyone liked it. So that's why everyone knows her. 
So yeah, so that's the childhood upbringing. And then we get to, I want to say, she like keeps acting whatever. ",So in her teen she took on a bunch of acting roles in particular She,"And there was a quote, gypsy prophet or gypsy psychic, something like that, that said that one of her, or sorry, the mother Maria that went to a psychic and the psychic told
Maria, the mother that one of her children is going to die by drowning or something or like on the ocean or water. And it was gonna be Natalie. And so Maria never let anybody get near the water and kind of had everybody in like a very strict
schedule. And then so once Maria, sorry, once Natalie started getting much more popular, she was very vocal about her fear of the water.",And then the narrative then starts to go into more about Natalie's relationships. I think,,And so her life was always followed by scars and family issues and power moves to control her outcomes.,,,,she just had like an acting career from the young age and she won like I think several several awards I want to say 10 out of 11 but that could be wrong,,,"and so I remember like even though she was 15 Natalie, a lot of the roles she was in were like, oh, this is like really good girl, good girl roles. ",and her her dad was like a heavy drinker her mom was like uh just very strict and she had a very tight schedule and she kind of had to do whatever was told of her to do and that I mean led her to have a very successful career but at the same time she had a lot of other problems that came along with it.,and then kind of telling her story going through like hollywood and acting and everything as a teenager and as a kid she was exploited by a lot of people um she like went through different roles um so many different auditions ,Eventually Natalie rose to fame she Had a lot of bookings of the child and like that helped Bring in money for their family and so the mom really wanted to Keep this source of money money and continue to have this source of money and so that means Natalia Natalie was always in the spotlight and eventually she started to kind of see how in every aspect of her life she's taken advantage of and that includes directors who tried to manipulate her in order to get a certain way of acting from her and her mom and dad would also manipulate her at home,"Her career started taking off though and she played a lot of like ingenue roles because she was very um pretty and wide-eyed and she was just very dazzling to audiences in this very like naive and innocent role but then when she was a little bit older maybe like 15 or 16 I don't remember but she was in Rebel Without a Cause with James Dean and that was really huge for her career because she was trying to break out and play a more rebellious character and she was very happy to get to do that.

I'll say that you find out later in the role that she basically was being like proposition to get it and her mother made her do some really like exploitative things to try and get this role that was so like outside of her her career type but she was great in the movie she was very successful and this kind of helped to help helped her to branch out in terms of what she was doing. I think the main thing is just she was hugely successful for a very long time and so many iconic movies the narrator talked about West Side Story at the beginning, but she was nominated for like 11 Academy Awards and won 10 of them, so she was really at like the top of her game.",,"and then I think by the age of like 15 or something around there she was um She already got like 11 nominations for some sort of award and won 10 of them. So she was doing, she was being super successful in Hollywood. "
